COMID,Discharge,StageHeight
1.822901700000000000e+07,9.143999999999999906e-01,2.729946365215885073e-01
1.822901100000000000e+07,6.909999999999999476e-02,1.289777271843059805e-02
1.822902700000000000e+07,1.233999999999999958e-01,2.281676143159907036e-02
1.822890900000000000e+07,8.930000000000000437e-02,3.671708005025296762e-02
1.822901300000000000e+07,1.729999999999999941e-02,nan
1.822899700000000000e+07,1.476999999999999869e+00,1.396186567235452869e-01
1.822898500000000000e+07,9.100000000000000450e-03,1.286323943148253747e-03
1.822903100000000000e+07,4.838000000000000078e-01,1.551165215696354571e-01
1.822879100000000000e+07,7.319200000000000372e+00,3.615691901315829515e-01
1.823014900000000000e+07,7.960000000000000409e-02,2.305054225617386363e-02
1.822904900000000000e+07,2.399999999999999790e-03,1.310071071954043744e-03
1.823014700000000000e+07,9.700000000000000289e-03,nan
1.822895100000000000e+07,1.558100000000000041e+00,1.385078778741210270e-01
1.822898100000000000e+07,1.295000000000000040e-01,2.341466070243284486e-02
1.822880300000000000e+07,1.112700000000000022e+00,2.221879703857351784e-01
1.823014300000000000e+07,5.499999999999999681e-03,1.614432841224736634e-03
1.822904300000000000e+07,2.440000000000000155e-02,3.926750067227743023e-03
1.822891100000000000e+07,9.339999999999999691e-02,2.744771873684572275e-02
1.822892500000000000e+07,1.018000000000000016e-01,1.848503226273681688e-02
1.822900500000000000e+07,2.610000000000000167e-02,1.422023743587916798e-02
1.822901500000000000e+07,3.120999999999999885e-01,9.042404938479448040e-02
1.822892900000000000e+07,1.564100000000000046e+00,1.144248591829826051e-01
1.822891900000000000e+07,6.488000000000000433e-01,1.028442399173768312e-01
1.822895300000000000e+07,5.700000000000000205e-03,8.543429669018239199e-04
1.822896300000000000e+07,3.201999999999999846e-01,2.174024642433177168e-01
1.822900300000000000e+07,1.700000000000000122e-02,1.795137169927063124e-03
1.822890500000000000e+07,1.240599999999999925e+00,1.912096522192461012e-01
1.822902900000000000e+07,1.859999999999999848e-02,5.964676262963979070e-03
1.822900100000000000e+07,9.100000000000000450e-03,1.856357721775373946e-03
1.823015100000000000e+07,2.000000000000000042e-03,1.068450717582066552e-03
1.823014500000000000e+07,1.199999999999999895e-03,4.619395429834147106e-04
1.822897100000000000e+07,4.070000000000000007e-02,1.326507316948302879e-02
1.822890300000000000e+07,3.123000000000000220e-01,6.540687621339352775e-02
1.822896100000000000e+07,1.969999999999999876e-02,4.138829894110774253e-03
1.822996700000000000e+07,1.439999999999999961e-02,4.584158053733141704e-03
1.822904700000000000e+07,2.129999999999999949e-02,4.238563208223517301e-03
1.822903900000000000e+07,7.380000000000000449e-02,1.629928551126875319e-02
1.822891300000000000e+07,5.467999999999999527e-01,6.186068239604099878e-02
1.822891700000000000e+07,4.440599999999999881e+00,4.580071797607312423e-01
1.822894900000000000e+07,8.780999999999999917e-01,1.114746965458904004e-01
1.822896700000000000e+07,2.977000000000000202e-01,4.394685622370241712e-02
1.822902300000000000e+07,5.530000000000000193e-02,7.655714127090785907e-03
1.822905300000000000e+07,1.290000000000000001e-02,3.389662667593636072e-03
1.822885900000000000e+07,6.195899999999999963e+00,3.737459801231581280e-01
1.822904500000000000e+07,1.990000000000000102e-02,3.048887187863060736e-03
1.822884700000000000e+07,1.104100000000000081e+00,2.705528736884858509e-01
1.822897700000000000e+07,2.056999999999999940e-01,2.760991877751629506e-02
1.822897300000000000e+07,7.259999999999999787e-02,1.939708283381452042e-02
