COMID,Discharge,StageHeight
1.822901700000000000e+07,9.120000000000000329e-01,2.722781151658888454e-01
1.822901100000000000e+07,6.909999999999999476e-02,1.289777271843059805e-02
1.822902700000000000e+07,1.232000000000000040e-01,2.277978126720425767e-02
1.822890900000000000e+07,8.920000000000000151e-02,3.667596349924484578e-02
1.822901300000000000e+07,1.729999999999999941e-02,nan
1.822899700000000000e+07,1.473600000000000021e+00,1.392972596803089547e-01
1.822898500000000000e+07,9.000000000000001055e-03,1.272188515201569609e-03
1.822903100000000000e+07,4.825999999999999734e-01,1.547317761668169922e-01
1.822879100000000000e+07,7.301300000000000345e+00,3.606849283948692086e-01
1.823014900000000000e+07,7.939999999999999836e-02,2.299262632085683974e-02
1.822904900000000000e+07,2.399999999999999790e-03,1.310071071954043744e-03
1.823014700000000000e+07,9.700000000000000289e-03,nan
1.822895100000000000e+07,1.554499999999999993e+00,1.381878545377838996e-01
1.822898100000000000e+07,1.295000000000000040e-01,2.341466070243284486e-02
1.822880300000000000e+07,1.109099999999999975e+00,2.215778207437204828e-01
1.823014300000000000e+07,5.499999999999999681e-03,1.614432841224736634e-03
1.822904300000000000e+07,2.440000000000000155e-02,3.926750067227743023e-03
1.822891100000000000e+07,9.320000000000000506e-02,2.738894417852271584e-02
1.822892500000000000e+07,1.015999999999999959e-01,1.844871589286896374e-02
1.822900500000000000e+07,2.610000000000000167e-02,1.422023743587916798e-02
1.822901500000000000e+07,3.114000000000000101e-01,9.022123991805511278e-02
1.822892900000000000e+07,1.560599999999999987e+00,1.141688096930903729e-01
1.822891900000000000e+07,6.473999999999999755e-01,1.026223195476414218e-01
1.822895300000000000e+07,5.700000000000000205e-03,8.543429669018239199e-04
1.822896300000000000e+07,3.195000000000000062e-01,2.169271933970643995e-01
1.822900300000000000e+07,1.700000000000000122e-02,1.795137169927063124e-03
1.822890500000000000e+07,1.238399999999999945e+00,1.908705733583059561e-01
1.822902900000000000e+07,1.849999999999999908e-02,5.932608111012560061e-03
1.822900100000000000e+07,9.100000000000000450e-03,1.856357721775373946e-03
1.823015100000000000e+07,2.000000000000000042e-03,1.068450717582066552e-03
1.823014500000000000e+07,1.199999999999999895e-03,4.619395429834147106e-04
1.822897100000000000e+07,4.059999999999999720e-02,1.323248085211329098e-02
1.822890300000000000e+07,3.116999999999999771e-01,6.528121458762331519e-02
1.822896100000000000e+07,1.969999999999999876e-02,4.138829894110774253e-03
1.822996700000000000e+07,1.439999999999999961e-02,4.584158053733141704e-03
1.822904700000000000e+07,2.129999999999999949e-02,4.238563208223517301e-03
1.822903900000000000e+07,7.380000000000000449e-02,1.629928551126875319e-02
1.822891300000000000e+07,5.455999999999999739e-01,6.172492376605700354e-02
1.822891700000000000e+07,4.429700000000000415e+00,4.568829446890310675e-01
1.822894900000000000e+07,8.767000000000000348e-01,1.112969667028608500e-01
1.822896700000000000e+07,2.973999999999999977e-01,4.390256983852568184e-02
1.822902300000000000e+07,5.519999999999999907e-02,7.641870159410693239e-03
1.822905300000000000e+07,1.290000000000000001e-02,3.389662667593636072e-03
1.822885900000000000e+07,6.181400000000000006e+00,3.728713183771993900e-01
1.822904500000000000e+07,1.990000000000000102e-02,3.048887187863060736e-03
1.822884700000000000e+07,1.100600000000000023e+00,2.700853413460453378e-01
1.822897700000000000e+07,2.054999999999999882e-01,2.758307393670198296e-02
1.822897300000000000e+07,7.249999999999999500e-02,1.937036508886436081e-02
