COMID,Discharge,StageHeight
1.822901700000000000e+07,9.059999999999999165e-01,2.704868117766395241e-01
1.822901100000000000e+07,6.869999999999999718e-02,1.282311122657282462e-02
1.822902700000000000e+07,1.223999999999999949e-01,2.263186060962500690e-02
1.822890900000000000e+07,8.870000000000000107e-02,3.647038074420423659e-02
1.822901300000000000e+07,1.720000000000000001e-02,nan
1.822899700000000000e+07,1.464499999999999913e+00,1.384370499469411431e-01
1.822898500000000000e+07,9.000000000000001055e-03,1.272188515201569609e-03
1.822903100000000000e+07,4.793999999999999928e-01,1.537057884259678264e-01
1.822879100000000000e+07,7.253499999999999837e+00,3.583236037571642663e-01
1.823014900000000000e+07,7.900000000000000078e-02,2.287679445022280239e-02
1.822904900000000000e+07,2.399999999999999790e-03,1.310071071954043744e-03
1.823014700000000000e+07,9.599999999999999159e-03,nan
1.822895100000000000e+07,1.544999999999999929e+00,1.373433485113387531e-01
1.822898100000000000e+07,1.283999999999999864e-01,2.321577169260522280e-02
1.822880300000000000e+07,1.100000000000000089e+00,2.200354980375167080e-01
1.823014300000000000e+07,5.400000000000000286e-03,1.585079516838832454e-03
1.822904300000000000e+07,2.409999999999999989e-02,3.878470353286418530e-03
1.822891100000000000e+07,9.270000000000000462e-02,2.724200778271518991e-02
1.822892500000000000e+07,1.009000000000000036e-01,1.832160859833148470e-02
1.822900500000000000e+07,2.589999999999999941e-02,1.411127009920576381e-02
1.822901500000000000e+07,3.095999999999999863e-01,8.969972986072531629e-02
1.822892900000000000e+07,1.550899999999999945e+00,1.134591868211033139e-01
1.822891900000000000e+07,6.434999999999999609e-01,1.020041128033785105e-01
1.822895300000000000e+07,5.700000000000000205e-03,8.543429669018239199e-04
1.822896300000000000e+07,3.176999999999999824e-01,2.157050683638414845e-01
1.822900300000000000e+07,1.679999999999999896e-02,1.774017909104391505e-03
1.822890500000000000e+07,1.231500000000000039e+00,1.898070987489937078e-01
1.822902900000000000e+07,1.839999999999999969e-02,5.900539959061141052e-03
1.822900100000000000e+07,9.000000000000001055e-03,1.835958186371249110e-03
1.823015100000000000e+07,2.000000000000000042e-03,1.068450717582066552e-03
1.823014500000000000e+07,1.199999999999999895e-03,4.619395429834147106e-04
1.822897100000000000e+07,4.039999999999999841e-02,1.316729621737381707e-02
1.822890300000000000e+07,3.099999999999999978e-01,6.492517331460771757e-02
1.822896100000000000e+07,1.949999999999999997e-02,4.096811316505588781e-03
1.822996700000000000e+07,1.420000000000000082e-02,4.520489191875737452e-03
1.822904700000000000e+07,2.110000000000000070e-02,4.198764492653344130e-03
1.822903900000000000e+07,7.320000000000000118e-02,1.616677099491697217e-02
1.822891300000000000e+07,5.423000000000000043e-01,6.135158753360101663e-02
1.822891700000000000e+07,4.401200000000000223e+00,4.539434309694479475e-01
1.822894900000000000e+07,8.718000000000000194e-01,1.106749122522574375e-01
1.822896700000000000e+07,2.955999999999999739e-01,4.363685152746533957e-02
1.822902300000000000e+07,5.480000000000000149e-02,7.586494288690326035e-03
1.822905300000000000e+07,1.280000000000000061e-02,3.363386212806088616e-03
1.822885900000000000e+07,6.142699999999999605e+00,3.705368763379853214e-01
1.822904500000000000e+07,1.969999999999999876e-02,3.018245105572980175e-03
1.822884700000000000e+07,1.091499999999999915e+00,2.688697572556999482e-01
1.822897700000000000e+07,2.041000000000000036e-01,2.739516005100182602e-02
1.822897300000000000e+07,7.209999999999999742e-02,1.926349410906373280e-02
