configuration,comid,date,discharge
short_range,18229031,2016-07-13 03:00:00,0.3896
short_range,18229031,2016-07-13 04:00:00,0.3893
short_range,18229031,2016-07-13 05:00:00,0.3891
short_range,18229031,2016-07-13 06:00:00,0.3889
short_range,18229031,2016-07-13 07:00:00,0.3887
short_range,18229031,2016-07-13 08:00:00,0.3885
short_range,18229031,2016-07-13 09:00:00,0.3884
short_range,18229031,2016-07-13 10:00:00,0.3884
short_range,18229031,2016-07-13 11:00:00,0.3884
short_range,18229031,2016-07-13 12:00:00,0.3884
short_range,18229031,2016-07-13 13:00:00,0.3885
short_range,18229031,2016-07-13 14:00:00,0.3885
short_range,18229031,2016-07-13 15:00:00,0.3887
short_range,18228791,2016-07-13 01:00:00,9.7114
short_range,18228791,2016-07-13 02:00:00,7.2308
short_range,18228791,2016-07-13 03:00:00,5.9087
short_range,18228791,2016-07-13 04:00:00,5.8599
short_range,18228791,2016-07-13 05:00:00,5.8512
short_range,18228791,2016-07-13 06:00:00,5.8458
short_range,18228791,2016-07-13 07:00:00,5.8416
short_range,18228791,2016-07-13 08:00:00,5.838
short_range,18228791,2016-07-13 09:00:00,5.835
short_range,18228791,2016-07-13 10:00:00,5.8324
short_range,18228791,2016-07-13 11:00:00,5.8301
short_range,18228791,2016-07-13 12:00:00,5.8282
short_range,18228791,2016-07-13 13:00:00,5.8266
short_range,18228791,2016-07-13 14:00:00,5.8251
short_range,18228791,2016-07-13 15:00:00,5.8235
short_range,18230149,2016-07-13 01:00:00,0.0399
short_range,18230149,2016-07-13 02:00:00,0.0591
short_range,18230149,2016-07-13 03:00:00,0.0642
short_range,18230149,2016-07-13 04:00:00,0.0642
short_range,18230149,2016-07-13 05:00:00,0.0641
short_range,18230149,2016-07-13 06:00:00,0.0641
short_range,18230149,2016-07-13 07:00:00,0.0641
short_range,18230149,2016-07-13 08:00:00,0.064
short_range,18230149,2016-07-13 09:00:00,0.064
short_range,18230149,2016-07-13 10:00:00,0.064
short_range,18230149,2016-07-13 11:00:00,0.0639
short_range,18230149,2016-07-13 12:00:00,0.0639
short_range,18230149,2016-07-13 13:00:00,0.0639
short_range,18230149,2016-07-13 14:00:00,0.0639
short_range,18230149,2016-07-13 15:00:00,0.0639
short_range,18229049,2016-07-13 01:00:00,0.001
short_range,18229049,2016-07-13 02:00:00,0.0011
short_range,18229049,2016-07-13 03:00:00,0.0011
short_range,18229049,2016-07-13 04:00:00,0.0011
short_range,18229049,2016-07-13 05:00:00,0.0011
short_range,18229049,2016-07-13 06:00:00,0.0011
short_range,18229049,2016-07-13 07:00:00,0.0011
short_range,18229049,2016-07-13 08:00:00,0.0011
short_range,18229049,2016-07-13 09:00:00,0.0011
short_range,18229049,2016-07-13 10:00:00,0.0011
short_range,18229049,2016-07-13 11:00:00,0.0011
short_range,18229049,2016-07-13 12:00:00,0.0011
short_range,18229049,2016-07-13 13:00:00,0.0011
short_range,18229049,2016-07-13 14:00:00,0.0011
short_range,18229049,2016-07-13 15:00:00,0.0011
short_range,18230147,2016-07-13 01:00:00,0.0046
short_range,18230147,2016-07-13 02:00:00,0.0049
short_range,18230147,2016-07-13 03:00:00,0.0049
short_range,18230147,2016-07-13 04:00:00,0.0049
short_range,18230147,2016-07-13 05:00:00,0.0049
short_range,18230147,2016-07-13 06:00:00,0.0049
short_range,18230147,2016-07-13 07:00:00,0.0049
short_range,18230147,2016-07-13 08:00:00,0.0049
short_range,18230147,2016-07-13 09:00:00,0.0049
short_range,18230147,2016-07-13 10:00:00,0.0049
short_range,18230147,2016-07-13 11:00:00,0.0049
short_range,18230147,2016-07-13 12:00:00,0.0049
short_range,18230147,2016-07-13 13:00:00,0.0049
short_range,18230147,2016-07-13 14:00:00,0.0049
short_range,18230147,2016-07-13 15:00:00,0.0048
short_range,18228951,2016-07-13 01:00:00,4.3057
short_range,18228951,2016-07-13 02:00:00,1.2673
short_range,18228951,2016-07-13 03:00:00,1.271
short_range,18228951,2016-07-13 04:00:00,1.2702
short_range,18228951,2016-07-13 05:00:00,1.2694
short_range,18228951,2016-07-13 06:00:00,1.2688
short_range,18228951,2016-07-13 07:00:00,1.2683
short_range,18228951,2016-07-13 08:00:00,1.2678
short_range,18228951,2016-07-13 09:00:00,1.2676
short_range,18228951,2016-07-13 10:00:00,1.2674
short_range,18228951,2016-07-13 11:00:00,1.2674
short_range,18228951,2016-07-13 12:00:00,1.2674
short_range,18228951,2016-07-13 13:00:00,1.2676
short_range,18228951,2016-07-13 14:00:00,1.2679
short_range,18228951,2016-07-13 15:00:00,1.2681
short_range,18228981,2016-07-13 01:00:00,0.0658
short_range,18228981,2016-07-13 02:00:00,0.0865
