COMID,Discharge,StageHeight
1.822901700000000000e+07,7.540000000000000036e-01,2.251071259156580684e-01
1.822901100000000000e+07,4.710000000000000298e-02,8.791390666252984695e-03
1.822902700000000000e+07,9.699999999999998901e-02,1.793537973148387130e-02
1.822890900000000000e+07,7.420000000000000207e-02,3.050848084802654583e-02
1.822901300000000000e+07,1.149999999999999981e-02,nan
1.822899700000000000e+07,1.228799999999999892e+00,1.161566725672934647e-01
1.822898500000000000e+07,6.799999999999999621e-03,9.612091003745191131e-04
1.822903100000000000e+07,3.973999999999999755e-01,1.274148525667075649e-01
1.822879100000000000e+07,5.972199999999999953e+00,2.950272594414470873e-01
1.823014900000000000e+07,6.550000000000000266e-02,1.896746881632396797e-02
1.822904900000000000e+07,1.199999999999999895e-03,6.550355359770218718e-04
1.823014700000000000e+07,5.100000000000000366e-03,nan
1.822895100000000000e+07,1.294599999999999973e+00,1.150839475616693697e-01
1.822898100000000000e+07,9.279999999999999361e-02,1.677900010182060281e-02
1.822880300000000000e+07,8.739000000000000101e-01,1.948176106677064756e-01
1.823014300000000000e+07,4.000000000000000083e-03,1.174132975436171979e-03
1.822904300000000000e+07,1.540000000000000049e-02,2.478358648988001744e-03
1.822891100000000000e+07,7.710000000000000187e-02,2.265759223352039817e-02
1.822892500000000000e+07,8.379999999999999949e-02,1.521655897463011081e-02
1.822900500000000000e+07,1.319999999999999993e-02,7.191844220444636691e-03
1.822901500000000000e+07,2.636999999999999900e-01,7.640122339881547098e-02
1.822892900000000000e+07,1.297800000000000065e+00,9.494315085203940130e-02
1.822891900000000000e+07,5.401000000000000245e-01,8.561370835292111958e-02
1.822895300000000000e+07,3.000000000000000062e-03,4.496541931062231386e-04
1.822896300000000000e+07,2.702999999999999847e-01,1.835224424889718431e-01
1.822900300000000000e+07,8.300000000000000086e-03,8.764493241408601596e-04
1.822890500000000000e+07,1.019200000000000106e+00,1.570859886682699214e-01
1.822902900000000000e+07,1.389999999999999916e-02,4.457473121247274364e-03
1.822900100000000000e+07,4.499999999999999660e-03,9.179790931856243383e-04
1.823015100000000000e+07,1.000000000000000021e-03,5.342253587910332762e-04
1.823014500000000000e+07,5.999999999999999474e-04,2.309697714917073553e-04
1.822897100000000000e+07,3.440000000000000002e-02,1.121175717518958781e-02
1.822890300000000000e+07,2.615000000000000102e-01,5.476752523151587337e-02
1.822896100000000000e+07,1.290000000000000001e-02,2.710198255534466451e-03
1.822996700000000000e+07,1.000000000000000021e-02,3.183443092870237318e-03
1.822904700000000000e+07,1.329999999999999932e-02,2.646614585416562273e-03
1.822903900000000000e+07,5.279999999999999971e-02,1.166127743895650250e-02
1.822891300000000000e+07,4.561999999999999944e-01,5.161090583224927503e-02
1.822891700000000000e+07,3.662500000000000089e+00,3.777532981744985419e-01
1.822894900000000000e+07,7.194000000000000394e-01,9.132774933961229635e-02
1.822896700000000000e+07,2.253999999999999893e-01,3.327383739611193547e-02
1.822902300000000000e+07,3.960000000000000325e-02,5.482211201316367077e-03
1.822905300000000000e+07,9.799999999999999684e-03,2.575092569179661482e-03
1.822885900000000000e+07,5.091700000000000337e+00,3.071389801309066248e-01
1.822904500000000000e+07,1.319999999999999993e-02,2.022377431145346970e-03
1.822884700000000000e+07,8.675000000000000488e-01,2.163732390639672987e-01
1.822897700000000000e+07,1.461999999999999966e-01,1.962357863525951429e-02
1.822897300000000000e+07,6.239999999999999714e-02,1.667187284889842802e-02
