COMID,Discharge,StageHeight
1.822901700000000000e+07,7.493999999999999551e-01,2.237337933172336424e-01
1.822901100000000000e+07,4.610000000000000209e-02,8.604736936608547646e-03
1.822902700000000000e+07,9.650000000000000244e-02,1.784292932049684130e-02
1.822890900000000000e+07,7.370000000000000162e-02,3.030289809298593665e-02
1.822901300000000000e+07,1.119999999999999989e-02,nan
1.822899700000000000e+07,1.221999999999999975e+00,1.155138784808208141e-01
1.822898500000000000e+07,6.799999999999999621e-03,9.612091003745191131e-04
1.822903100000000000e+07,3.950000000000000178e-01,1.266453617610706905e-01
1.822879100000000000e+07,5.936300000000000132e+00,2.932537959583172982e-01
1.823014900000000000e+07,6.510000000000000508e-02,1.885163694568993062e-02
1.822904900000000000e+07,1.199999999999999895e-03,6.550355359770218718e-04
1.823014700000000000e+07,5.100000000000000366e-03,nan
1.822895100000000000e+07,1.287500000000000089e+00,1.144527904261156553e-01
1.822898100000000000e+07,9.249999999999999889e-02,1.672475764459488770e-02
1.822880300000000000e+07,8.677000000000000268e-01,1.934354511687480238e-01
1.823014300000000000e+07,3.899999999999999821e-03,1.144779651050267799e-03
1.822904300000000000e+07,1.529999999999999936e-02,2.462265411007559957e-03
1.822891100000000000e+07,7.670000000000000429e-02,2.254004311687437742e-02
1.822892500000000000e+07,8.329999999999999905e-02,1.512576804996047970e-02
1.822900500000000000e+07,1.260000000000000009e-02,6.864942210424426761e-03
1.822901500000000000e+07,2.622999999999999776e-01,7.599560446533673574e-02
1.822892900000000000e+07,1.290699999999999958e+00,9.442373617254372353e-02
1.822891900000000000e+07,5.371000000000000218e-01,8.513816470348811727e-02
1.822895300000000000e+07,3.000000000000000062e-03,4.496541931062231386e-04
1.822896300000000000e+07,2.689999999999999614e-01,1.826397966316441746e-01
1.822900300000000000e+07,8.300000000000000086e-03,8.764493241408601596e-04
1.822890500000000000e+07,1.012999999999999901e+00,1.561304027874385880e-01
1.822902900000000000e+07,1.379999999999999977e-02,4.425404969295855355e-03
1.822900100000000000e+07,4.499999999999999660e-03,9.179790931856243383e-04
1.823015100000000000e+07,1.000000000000000021e-03,5.342253587910332762e-04
1.823014500000000000e+07,5.999999999999999474e-04,2.309697714917073553e-04
1.822897100000000000e+07,3.420000000000000123e-02,1.114657254045011391e-02
1.822890300000000000e+07,2.600000000000000089e-01,5.445337116709034198e-02
1.822896100000000000e+07,1.280000000000000061e-02,2.689188966731873714e-03
1.822996700000000000e+07,9.900000000000000813e-03,3.151608661941535192e-03
1.822904700000000000e+07,1.329999999999999932e-02,2.646614585416562273e-03
1.822903900000000000e+07,5.260000000000000092e-02,1.161710593350591056e-02
1.822891300000000000e+07,4.536000000000000032e-01,5.131676213395062330e-02
1.822891700000000000e+07,3.641799999999999926e+00,3.756182829465908313e-01
1.822894900000000000e+07,7.151999999999999469e-01,9.079455981052364510e-02
1.822896700000000000e+07,2.235000000000000042e-01,3.299335695665935042e-02
1.822902300000000000e+07,3.939999999999999752e-02,5.454523265956182608e-03
1.822905300000000000e+07,9.799999999999999684e-03,2.575092569179661482e-03
1.822885900000000000e+07,5.062000000000000277e+00,3.053474315891842594e-01
1.822904500000000000e+07,1.319999999999999993e-02,2.022377431145346970e-03
1.822884700000000000e+07,8.614000000000000545e-01,2.148517672964858072e-01
1.822897700000000000e+07,1.446999999999999953e-01,1.942224232915220131e-02
1.822897300000000000e+07,6.210000000000000242e-02,1.659171961404795614e-02
