COMID, Height(ft), Flowrate(ft^3/s)
18224299,0.542091,26.486000
18224299,0.542090,26.486000
18224299,0.577266,29.277557
18224299,0.843007,52.674263
18224299,1.059683,76.159187
18224299,1.258681,102.332863
18224299,1.406155,125.761360
18224299,1.541008,152.122910
18224299,1.641250,176.891861
18224299,1.723782,199.584045
18224299,1.816247,226.437881
18224299,1.898453,251.563004
18224299,1.973055,275.480865
18224299,2.046498,300.209717
18224299,2.118854,325.827698
18224299,2.187192,351.235962
18224299,2.250808,376.051758
18224299,2.310229,400.322449
18224299,2.369809,425.881836
18224299,2.425434,450.885986
18224299,2.474627,473.988495
18224299,2.528422,500.516541
18224299,2.576375,525.093079
18224299,2.621496,548.717529
18224299,2.671358,575.462402
18224299,2.716123,599.952087
18224299,2.760784,624.907166
18224299,2.802436,648.611755
18224299,2.846317,674.139709
18224299,2.889107,699.524902
18224299,2.928515,723.319946
18224299,2.970912,749.492004
18224299,3.011232,774.846191
18224299,3.047656,798.133728
18224299,3.087720,824.299438
18224299,3.124952,849.047607
18224299,3.162183,874.275330
18224299,3.197939,898.932007
18224299,3.233901,924.213074
18224299,3.268862,949.227905
18224299,3.302405,973.648987
18224299,3.336709,999.115479
18224299,3.369518,1023.892273
18224299,3.401988,1048.870361
18224299,3.433182,1073.272339
18224299,3.464774,1098.448608
18224299,3.495948,1123.760986
18224299,3.525174,1147.873657
18224299,3.555367,1173.226318
18224299,3.583544,1197.084961
18224299,3.613924,1223.136475
18224299,3.642615,1247.975830
18224299,3.671690,1273.407349
18224299,3.698675,1297.213745
18224299,3.727516,1322.956177
18224299,3.754547,1347.288086
18224299,3.782763,1372.986816
18224299,3.808960,1397.025879
18224299,3.836151,1422.266479
18224299,3.863107,1447.525635
18224299,3.889833,1472.813965
18224299,3.914672,1496.507812
18224299,3.941417,1522.318848
18224299,3.966795,1547.011963
18224299,3.991831,1571.614624
18224299,4.017796,1597.398560
18224299,4.042192,1621.828613
18224299,4.066148,1646.017944
18224299,4.091712,1672.140015
18224299,4.115889,1697.055420
18224299,4.139209,1721.280640
18224299,4.163143,1746.408813
18224299,4.186919,1771.600586
18224299,4.210591,1796.920776
18224299,4.233334,1821.458496
18224299,4.256552,1846.752563
18224299,4.278055,1870.347412
18224299,4.301349,1896.207520
18224299,4.323084,1920.508301
18224299,4.345932,1946.351562
18224299,4.367900,1971.396729
18224299,4.388284,1994.799438
18224299,4.410233,2020.282837
18224299,4.432166,2045.991211
18224299,4.452917,2070.508057
18224299,4.474137,2095.825684
18224299,4.494636,2120.492920
18224299,4.515328,2145.622070
18224299,4.535954,2170.882324
18224299,4.555942,2195.493652
18224299,4.575718,2219.969727
18224299,4.594961,2243.905273
18224299,4.615554,2269.723145
18224299,4.635984,2295.483887
18224299,4.655351,2320.009521
18224299,4.674964,2344.993164
18224299,4.694511,2370.041016
18224299,4.713186,2394.055420
18224299,4.733297,2420.137695
18224299,4.752257,2444.829834
18224299,4.771398,2469.894043
18224299,4.790473,2495.006348
18224299,4.808704,2519.120850
18224299,4.827681,2544.380371
18224299,4.846253,2569.233887
18224299,4.864957,2594.401855
18224299,4.882746,2618.418213
18224299,4.901690,2644.214111
18224299,4.920115,2669.406738
18224299,4.937789,2693.676758
18224299,4.955302,2717.833740
18224299,4.973957,2743.768799
18224299,4.992001,2768.979980
18224299,5.009826,2793.998779
18224299,5.026834,2817.960693
18224299,5.044771,2843.410400
18224299,5.062638,2868.899658
18224299,5.079130,2892.490479
18224299,5.097293,2918.689453
18224299,5.114144,2943.075195
18224299,5.130742,2967.192383
18224299,5.148176,2992.710205
18224299,5.164895,3017.283203
18224299,5.182014,3042.591553
18224299,5.199166,3068.102783
18224299,5.215128,3091.881592
18224299,5.232539,3118.048096
18224299,5.249032,3142.935791
18224299,5.265495,3167.886230
18224299,5.281125,3191.666748
18224299,5.298176,3217.815186
18224299,5.314183,3242.433350
18224299,5.330151,3267.131592
18224299,5.346552,3292.651611
18224299,5.361647,3316.188232
18224299,5.378113,3342.074219
18224299,5.393822,3366.852783
18224299,5.409610,3391.901367
18224299,5.424924,3416.286133
18224299,5.440295,3440.897949
