COMID, Height(ft), Flowrate(ft^3/s)
18230041,2.925140,21.188801
18230041,2.925120,21.188839
18230041,2.924527,21.188864
18230041,2.923953,21.188910
18230041,2.920941,21.189098
18230041,2.912860,21.188807
18230041,2.907961,21.188875
18230041,2.905105,21.188839
18230041,2.903558,21.188801
18230041,2.902923,21.188782
18230041,2.902981,21.188791
18230041,2.903616,21.188768
18230041,2.904726,21.188776
18230041,2.906203,21.188725
18230041,2.907777,21.188725
18230041,2.909447,21.188755
18230041,2.911214,21.188797
18230041,2.913109,21.188921
18230041,2.922406,21.306948
18230041,3.016806,22.544403
18230041,3.107082,23.795418
18230041,3.189475,24.987951
18230041,3.269400,26.218473
18230041,3.347612,27.507664
18230041,3.419557,28.760303
18230041,3.485692,29.978945
18230041,3.548478,31.220764
18230041,3.607592,32.483021
18230041,3.659744,33.671700
18230041,3.708743,34.905491
18230041,3.754554,36.221336
18230041,3.791772,37.483555
18230041,3.817287,38.681568
18230041,3.839334,39.911720
18230041,3.864085,41.227154
18230041,3.888130,42.403313
18230041,3.913399,43.627987
18230041,3.940666,44.966236
18230041,3.966079,46.207371
18230041,3.990814,47.435577
18230041,4.015591,48.702034
18230041,4.038602,49.914139
18230041,4.061450,51.177132
18230041,4.083550,52.444149
18230041,4.103639,53.640755
18230041,4.123832,54.916073
18230041,4.142710,56.153427
18230041,4.160544,57.406853
18230041,4.177215,58.668999
18230041,4.192175,59.895123
18230041,4.205682,61.113689
18230041,4.218061,62.396919
18230041,4.228392,63.661926
18230041,4.236542,64.926788
18230041,4.242559,66.123184
18230041,4.249042,67.343201
18230041,4.256441,68.643166
18230041,4.263901,69.861557
18230041,4.272051,71.114769
18230041,4.280810,72.382919
18230041,4.289271,73.584221
18230041,4.298359,74.884224
18230041,4.306581,76.046921
18230041,4.315935,77.380646
18230041,4.324718,78.627258
18230041,4.333140,79.817085
18230041,4.342067,81.080963
18230041,4.350587,82.285255
18230041,4.359692,83.579781
18230041,4.368448,84.820038
18230041,4.377526,86.107826
18230041,4.385997,87.304176
18230041,4.395003,88.584335
18230041,4.403898,89.843971
18230041,4.412510,91.062828
18230041,4.421404,92.325180
18230041,4.430158,93.561974
18230041,4.438838,94.790390
18230041,4.447493,96.013763
18230041,4.456096,97.227913
18230041,4.465416,98.549149
18230041,4.474262,99.799278
18230041,4.483081,101.046143
18230041,4.492051,102.313049
18230041,4.500764,103.543098
18230041,4.509350,104.753014
18230041,4.518268,106.013466
18230041,4.527224,107.275398
18230041,4.535932,108.500740
18230041,4.544921,109.768333
18230041,4.553809,111.014587
18230041,4.562536,112.237816
18230041,4.571335,113.470230
18230041,4.580623,114.771507
18230041,4.589216,115.966728
18230041,4.598068,117.199173
18230041,4.607090,118.455391
18230041,4.616405,119.749596
18230041,4.625400,120.995323
18230041,4.634334,122.228020
18230041,4.643540,123.495323
18230041,4.652575,124.737022
18230041,4.661289,125.925850
18230041,4.670545,127.189690
18230041,4.679967,128.480301
18230041,4.688904,129.692688
18230041,4.698425,130.986435
18230041,4.707506,132.213562
18230041,4.716604,133.439850
18230041,4.725505,134.632294
18230041,4.735170,135.932861
18230041,4.744328,137.156769
18230041,4.753859,138.435043
18230041,4.763402,139.705750
18230041,4.772434,140.900055
18230041,4.782057,142.181061
18230041,4.791657,143.449966
18230041,4.800909,144.667297
18230041,4.810403,145.919113
18230041,4.819852,147.159851
18230041,4.829465,148.416733
18230041,4.838829,149.638763
18230041,4.848268,150.868774
18230041,4.858169,152.160629
18230041,4.867749,153.407120
18230041,4.877080,154.613007
18230041,4.886693,155.859833
18230041,4.896519,157.130234
18230041,4.906224,158.386612
18230041,4.915820,159.624481
18230041,4.925643,160.888748
18230041,4.935246,162.124329
18230041,4.944901,163.366257
18230041,4.954652,164.614456
18230041,4.964350,165.860168
18230041,4.973911,167.083725
18230041,4.983842,168.355896
18230041,4.993635,169.612961
18230041,5.003248,170.842789
18230041,5.012864,172.073608
18230041,5.022464,173.296661
18230041,5.032093,174.531830
18230041,5.042132,175.830948
18230041,5.051778,177.064285
18230041,5.061338,178.294601
18230041,5.071142,179.568909
18230041,5.080840,180.826889
18230041,5.090322,182.065247
18230041,5.099472,183.258301
18230041,5.109088,184.531326
18230041,5.118727,185.808121
18230041,5.127923,187.028214
18230041,5.137123,188.255112
18230041,5.146821,189.562317
18230041,5.155883,190.781372
18230041,5.164882,191.996063
18230041,5.174065,193.247238
18230041,5.183514,194.541718
18230041,5.192214,195.727524
18230041,5.201322,196.986633
18230041,5.210443,198.247223
18230041,5.219399,199.495163
18230041,5.228301,200.739761
18230041,5.237431,202.022736
18230041,5.246093,203.240097
18230041,5.254889,204.487000
18230041,5.263619,205.721848
18230041,5.272405,206.979584
18230041,5.281148,208.237701
18230041,5.289751,209.477539
18230041,5.298530,210.746918
18230041,5.306785,211.938568
18230041,5.315233,213.170456
18230041,5.324071,214.470795
18230041,5.332415,215.697357
18230041,5.340719,216.922714
18230041,5.349252,218.196121
18230041,5.357704,219.453629
18230041,5.366040,220.704987
18230041,5.374193,221.928986
18230041,5.382670,223.211258
18230041,5.390584,224.403595
18230041,5.398809,225.659836
18230041,5.407192,226.944611
18230041,5.415226,228.178726
18230041,5.423222,229.411560
18230041,5.431211,230.649399
18230041,5.439370,231.918716
18230041,5.447264,233.151657
18230041,5.455207,234.400177
18230041,5.463284,235.673233
18230041,5.470850,236.861481
18230041,5.478694,238.110031
18230041,5.486778,239.404556
18230041,5.494288,240.600388
18230041,5.502152,241.872528
18230041,5.509984,243.136444
18230041,5.517546,244.362274
