COMID, Height(ft), Flowrate(ft^3/s)
18229221,0.816265,35.314667
18229221,0.816268,35.314667
18229221,0.815751,35.314667
18229221,0.815287,35.314701
18229221,0.814843,35.314667
18229221,0.814414,35.314701
18229221,0.813972,35.314701
18229221,0.813519,35.314701
18229221,0.813061,35.314667
18229221,0.812537,35.314495
18229221,0.808758,35.314453
18229221,0.804633,35.314297
18229221,0.800833,35.314461
18229221,0.797147,35.314526
18229221,0.793621,35.314415
18229221,0.790289,35.314304
18229221,0.787188,35.314419
18229221,0.784178,35.314312
18229221,0.781426,35.314522
18229221,0.778772,35.314583
18229221,0.776211,35.314407
18229221,0.773821,35.314381
18229221,0.771540,35.314358
18229221,0.769468,35.316608
18229221,0.786053,36.462994
18229221,0.809545,38.052013
18229221,0.831845,39.592827
18229221,0.854652,41.192898
18229221,0.876738,42.766735
18229221,0.898988,44.369453
18229221,0.920054,45.912140
18229221,0.940946,47.463371
18229221,0.962187,49.063622
18229221,0.982239,50.602562
18229221,1.003288,52.240738
18229221,1.023237,53.825661
18229221,1.042247,55.365662
18229221,1.061332,56.936287
18229221,1.081139,58.584808
18229221,1.098705,60.077381
18229221,1.117467,61.685749
18229221,1.135388,63.249027
18229221,1.153481,64.848602
18229221,1.171753,66.485405
18229221,1.188030,67.973778
18229221,1.205578,69.590698
18229221,1.222965,71.215729
18229221,1.239077,72.747932
18229221,1.255186,74.298317
18229221,1.272292,75.959373
18229221,1.288342,77.543869
18229221,1.303899,79.101463
18229221,1.319497,80.685539
18229221,1.334611,82.244926
18229221,1.349247,83.778923
18229221,1.364452,85.391571
18229221,1.379071,86.968262
18229221,1.393748,88.573952
18229221,1.408222,90.181404
18229221,1.421884,91.727165
18229221,1.435551,93.296089
18229221,1.448606,94.820488
18229221,1.462296,96.437851
18229221,1.475618,98.038284
18229221,1.488610,99.624901
18229221,1.501357,101.206184
18229221,1.514218,102.826454
18229221,1.526388,104.387054
18229221,1.538562,105.971375
18229221,1.550153,107.505516
18229221,1.562031,109.100426
18229221,1.573749,110.699509
18229221,1.585199,112.290115
18229221,1.595968,113.814796
18229221,1.607128,115.418640
18229221,1.618190,117.030334
18229221,1.628866,118.595055
18229221,1.639776,120.197884
18229221,1.650410,121.766808
18229221,1.660929,123.326973
18229221,1.671383,124.883080
18229221,1.681864,126.448441
18229221,1.692607,128.057098
18229221,1.703493,129.689224
18229221,1.713743,131.244568
18229221,1.724174,132.828949
18229221,1.734190,134.361191
18229221,1.744794,135.995132
18229221,1.754640,137.519196
18229221,1.765200,139.159637
18229221,1.775062,140.704269
18229221,1.785396,142.335480
18229221,1.794747,143.819931
18229221,1.804633,145.395111
18229221,1.814931,147.049561
18229221,1.824806,148.642365
18229221,1.834302,150.184906
18229221,1.843796,151.734116
18229221,1.853860,153.388519
18229221,1.863288,154.945175
18229221,1.872742,156.514252
18229221,1.882051,158.069443
18229221,1.891779,159.708359
18229221,1.900537,161.193161
18229221,1.910309,162.854675
18229221,1.919447,164.426315
18229221,1.928585,166.002670
18229221,1.937858,167.612411
18229221,1.946541,169.132462
18229221,1.955751,170.756622
18229221,1.964509,172.308594
18229221,1.973507,173.911346
18229221,1.982300,175.494308
18229221,1.990967,177.059464
18229221,1.999615,178.630951
18229221,2.008498,180.253860
18229221,2.016753,181.780197
18229221,2.025527,183.404465
18229221,2.034036,184.991226
18229221,2.042074,186.506424
18229221,2.050698,188.133026
18229221,2.058910,189.694244
18229221,2.067287,191.295868
18229221,2.075406,192.863174
18229221,2.083495,194.428741
18229221,2.091496,195.985245
18229221,2.099890,197.629868
18229221,2.107805,199.187302
18229221,2.115840,200.776810
18229221,2.123750,202.349686
18229221,2.131762,203.955338
18229221,2.139405,205.493042
18229221,2.147155,207.060379
18229221,2.155122,208.682953
18229221,2.162904,210.273376
18229221,2.170387,211.812775
18229221,2.178105,213.408539
18229221,2.185475,214.945786
18229221,2.193220,216.564407
18229221,2.200376,218.070648
18229221,2.208255,219.738708
18229221,2.215725,221.327545
18229221,2.222825,222.847198
18229221,2.230102,224.412308
18229221,2.237623,226.040909
18229221,2.244648,227.569046
18229221,2.252123,229.201569
18229221,2.259429,230.810059
18229221,2.266482,232.368423
18229221,2.273454,233.917282
18229221,2.280605,235.513397
18229221,2.287662,237.100586
18229221,2.294529,238.650909
18229221,2.301740,240.285400
18229221,2.308718,241.880035
18229221,2.315480,243.430923
18229221,2.322346,245.012848
18229221,2.329054,246.566681
18229221,2.336023,248.191864
18229221,2.342560,249.722610
18229221,2.349462,251.345596
18229221,2.356171,252.935181
18229221,2.362827,254.517136
18229221,2.369126,256.023468
18229221,2.375956,257.662720
18229221,2.382370,259.214386
18229221,2.389098,260.846313
18229221,2.395596,262.431274
18229221,2.401779,263.951416
18229221,2.408377,265.576508
18229221,2.414801,267.167786
18229221,2.421050,268.723969
18229221,2.427379,270.311096
18229221,2.433389,271.823456
18229221,2.439934,273.477692
18229221,2.446074,275.041931
18229221,2.452255,276.621613
18229221,2.458190,278.146240
18229221,2.464618,279.805481
18229221,2.470511,281.338562
18229221,2.476600,282.927063
18229221,2.482481,284.469757
18229221,2.488762,286.127899
18229221,2.494485,287.645416
18229221,2.500561,289.263702
18229221,2.506529,290.862000
18229221,2.512222,292.397491
18229221,2.517933,293.942932
18229221,2.523758,295.527039
18229221,2.529814,297.184937
18229221,2.535566,298.766205
18229221,2.540974,300.261200
18229221,2.546932,301.915985
18229221,2.552490,303.469727
18229221,2.558127,305.045685
18229221,2.563744,306.619568
18229221,2.569254,308.169006
18229221,2.575056,309.799866
18229221,2.580516,311.337830
18229221,2.586216,312.946716
18229221,2.591832,314.537598
18229221,2.597434,316.124756
18229221,2.602844,317.660461
18229221,2.608680,319.322754
18229221,2.614093,320.865967
18229221,2.619706,322.468719
18229221,2.625058,324.000061
18229221,2.630525,325.569641
18229221,2.636095,327.170227
18229221,2.641707,328.785095
18229221,2.647089,330.339325
18229221,2.652611,331.934479
18229221,2.658082,333.518524
18229221,2.663497,335.089355
18229221,2.668768,336.623962
18229221,2.674318,338.240906
18229221,2.679745,339.825409
18229221,2.685109,341.397369
18229221,2.690567,342.998108
18229221,2.695902,344.566223
18229221,2.701216,346.131195
18229221,2.706537,347.703949
18229221,2.711934,349.300842
18229221,2.717271,350.884033
18229221,2.722562,352.459015
18229221,2.727395,353.900635
18229221,2.733295,355.659302
18229221,2.738128,357.108643
18229221,2.743962,358.857758
18229221,2.748697,360.284119
18229221,2.754524,362.036804
18229221,2.759207,363.456787
18229221,2.764891,365.174469
18229221,2.769634,366.616394
18229221,2.775480,368.390594
18229221,2.779937,369.754425
18229221,2.785872,371.565033
18229221,2.790468,372.975128
18229221,2.796151,374.718262
18229221,2.800875,376.174316
18229221,2.806515,377.910004
18229221,2.810971,379.289764
18229221,2.815501,380.698120
18229221,2.821191,382.460297
18229221,2.825854,383.913513
18229221,2.831562,385.692688
18229221,2.835941,387.063934
18229221,2.841661,388.852264
18229221,2.846194,390.277924
18229221,2.851667,391.999146
18229221,2.856336,393.474243
18229221,2.861854,395.214539
18229221,2.866368,396.649017
18229221,2.871813,398.373444
18229221,2.876341,399.816406
18229221,2.881752,401.537994
18229221,2.886323,403.004272
18229221,2.891795,404.753387
18229221,2.896181,406.163849
18229221,2.901649,407.922546
18229221,2.906047,409.343597
18229221,2.911470,411.093079
18229221,2.915885,412.526520
18229221,2.920250,413.948303
18229221,2.925655,415.704132
18229221,2.929921,417.097656
18229221,2.935273,418.846069
18229221,2.939712,420.303528
18229221,2.944947,422.019073
18229221,2.949300,423.454651
18229221,2.954569,425.191742
18229221,2.959002,426.660522
18229221,2.964165,428.367950
18229221,2.968513,429.817291
18229221,2.973810,431.577698
18229221,2.977983,432.972626
18229221,2.983328,434.757111
18229221,2.987598,436.193329
18229221,2.992756,437.923065
18229221,2.997030,439.365295
18229221,3.002238,441.122223
18229221,3.006292,442.496674
18229221,3.010602,443.960815
18229221,3.015756,445.709259
18229221,3.019847,447.108063
18229221,3.025092,448.896027
18229221,3.029125,450.278931
18229221,3.034340,452.067657
18229221,3.038490,453.497559
18229221,3.043566,455.243866
18229221,3.047677,456.667389
18229221,3.052770,458.430298
18229221,3.056784,459.826599
18229221,3.061909,461.606842
18229221,3.065919,463.010590
18229221,3.070971,464.773499
18229221,3.075060,466.209412
18229221,3.080006,467.943024
18229221,3.083973,469.345001
18229221,3.089049,471.131897
18229221,3.093029,472.542755
18229221,3.098028,474.311279
18229221,3.101902,475.692810
18229221,3.105978,477.146362
18229221,3.110886,478.894073
18229221,3.114881,480.328217
18229221,3.119782,482.081573
18229221,3.123725,483.501221
18229221,3.128628,485.263428
18229221,3.132448,486.647400
18229221,3.137317,488.404999
18229221,3.141343,489.867035
18229221,3.146178,491.622192
18229221,3.149953,492.998749
18229221,3.154834,494.775085
18229221,3.158726,496.200043
18229221,3.163546,497.963654
18229221,3.167399,499.379730
18229221,3.172206,501.143372
18229221,3.175991,502.541840
18229221,3.180757,504.297333
18229221,3.184661,505.743103
18229221,3.188385,507.125336
18229221,3.193167,508.898834
18229221,3.196961,510.312103
18229221,3.201779,512.104004
18229221,3.205524,513.506653
18229221,3.210211,515.256165
18229221,3.214021,516.687134
18229221,3.218752,518.460266
18229221,3.222397,519.836487
18229221,3.227180,521.636108
18229221,3.230939,523.058960
18229221,3.235571,524.810547
18229221,3.239319,526.234436
18229221,3.243960,527.994568
18229221,3.247664,529.407104
18229221,3.252210,531.140015
18229221,3.256007,532.593933
18229221,3.260552,534.331360
18229221,3.264276,535.764832
18229221,3.268838,537.515381
18229221,3.272514,538.934265
18229221,3.276168,540.346863
18229221,3.280734,542.111572
18229221,3.284393,543.531921
18229221,3.288898,545.277527
18229221,3.292595,546.719788
18229221,3.297070,548.461487
18229221,3.300630,549.853577
18229221,3.305187,551.634521
18229221,3.308802,553.055908
18229221,3.313261,554.804016
18229221,3.316873,556.229675
18229221,3.321391,558.010254
18229221,3.324866,559.385742
18229221,3.329413,561.182922
18229221,3.333002,562.609985
18229221,3.337421,564.365417
18229221,3.340939,565.769226
18229221,3.345374,567.536377
18229221,3.348845,568.928467
18229221,3.352405,570.357300
18229221,3.356752,572.099060
18229221,3.360364,573.555359
18229221,3.364665,575.286865
18229221,3.368146,576.695251
18229221,3.372576,578.483887
18229221,3.376040,579.893616
18229221,3.380410,581.665100
18229221,3.383852,583.067017
18229221,3.388219,584.845459
18229221,3.391667,586.257690
18229221,3.395994,588.025879
18229221,3.399360,589.408447
18229221,3.403648,591.168945
18229221,3.407168,592.621094
18229221,3.411378,594.354675
18229221,3.414839,595.787354
18229221,3.419101,597.550293
18229221,3.422500,598.962830
18229221,3.425896,600.376526
18229221,3.430095,602.123535
18229221,3.433557,603.570374
18229221,3.437743,605.315247
18229221,3.441165,606.750854
18229221,3.445332,608.497498
18229221,3.448730,609.929199
18229221,3.452890,611.677246
18229221,3.456270,613.107117
18229221,3.460427,614.860779
18229221,3.463770,616.279114
18229221,3.467930,618.041260
18229221,3.471165,619.420654
18229221,3.475318,621.185303
18229221,3.478721,622.640991
18229221,3.482818,624.391174
18229221,3.486148,625.819641
18229221,3.490220,627.563538
18229221,3.493524,628.986755
18229221,3.497621,630.751038
18229221,3.500896,632.167480
18229221,3.504163,633.583923
18229221,3.508202,635.333069
18229221,3.511434,636.737549
18229221,3.515535,638.519226
18229221,3.518734,639.916626
18229221,3.522802,641.693604
18229221,3.525984,643.088196
18229221,3.530053,644.870544
18229221,3.533235,646.272156
18229221,3.537297,648.058044
18229221,3.540509,649.478760
18229221,3.544459,651.221558
18229221,3.547687,652.654541
18229221,3.551631,654.398804
18229221,3.554856,655.834290
18229221,3.558812,657.591919
18229221,3.561965,658.997498
18229221,3.565948,660.769897
18229221,3.569111,662.184265
18229221,3.573038,663.938354
18229221,3.576158,665.338257
18229221,3.579360,666.775513
18229221,3.583251,668.521118
18229221,3.586414,669.945312
18229221,3.590299,671.690613
18229221,3.593498,673.136414
18229221,3.597399,674.895447
18229221,3.600508,676.304504
18229221,3.604409,678.067017
18229221,3.607500,679.472229
18229221,3.611411,681.244995
18229221,3.614524,682.663574
18229221,3.618412,684.429688
18229221,3.621519,685.849670
18229221,3.625364,687.600891
18229221,3.628461,689.018799
18229221,3.632267,690.758789
18229221,3.635361,692.178772
18229221,3.639255,693.962158
18229221,3.642290,695.358887
18229221,3.645404,696.794373
18229221,3.649229,698.553406
18229221,3.652280,699.962830
18229221,3.656096,701.722168
18229221,3.659163,703.142883
18229221,3.662992,704.910767
18229221,3.666050,706.331116
18229221,3.669839,708.087646
18229221,3.672838,709.481140
18229221,3.676680,711.265686
18229221,3.679652,712.654541
18229221,3.683481,714.437988
18229221,3.686529,715.862549
18229221,3.690292,717.620178
18229221,3.693300,719.032349
18229221,3.697021,720.775146
18229221,3.700089,722.219910
18229221,3.703806,723.965820
18229221,3.706821,725.389771
18229221,3.709761,726.777283
18229221,3.713556,728.568787
18229221,3.716545,729.986267
18229221,3.720233,731.731506
18229221,3.723199,733.139587
18229221,3.726939,734.916260
18229221,3.729928,736.341858
18229221,3.733632,738.104431
18229221,3.736601,739.523376
18229221,3.740273,741.276428
18229221,3.743209,742.685120
18229221,3.746863,744.434265
18229221,3.749839,745.865845
18229221,3.753530,747.638733
18229221,3.756464,749.053040
18229221,3.760095,750.800415
18229221,3.763061,752.236328
18229221,3.766660,753.974487
18229221,3.769623,755.412170
18229221,3.773254,757.171875
18229221,3.776145,758.578064
18229221,3.779042,759.988525
18229221,3.782674,761.754639
18229221,3.785594,763.182800
18229221,3.789186,764.935059
18229221,3.792093,766.359375
18229221,3.795659,768.104980
18229221,3.798527,769.514038
18229221,3.802139,771.287170
18229221,3.805043,772.717773
18229221,3.808563,774.451721
18229221,3.811470,775.888306
18229221,3.815036,777.647278
18229221,3.817864,779.050781
18229221,3.821460,780.830933
18229221,3.824318,782.252014
18229221,3.827861,784.009949
18229221,3.830659,785.407349
18229221,3.834226,787.182251
18229221,3.837041,788.590332
18229221,3.840551,790.342224
