COMID, Height(ft), Flowrate(ft^3/s)
18229145,1.065820,26.486000
18229145,1.065733,26.485947
18229145,1.065044,26.485943
18229145,1.064310,26.485943
18229145,1.075748,26.902170
18229145,1.251500,34.557446
18229145,1.375131,42.415882
18229145,1.485387,51.328671
18229145,1.574469,59.676842
18229145,1.644374,67.284325
18229145,1.715286,76.377998
18229145,1.765943,84.873856
18229145,1.814828,92.915321
18229145,1.866385,101.246689
18229145,1.919268,109.894684
18229145,1.970631,118.468735
18229145,2.019608,126.838486
18229145,2.066022,134.965912
18229145,2.114443,143.658539
18229145,2.159946,152.048141
18229145,2.201255,159.874939
18229145,2.247095,168.788925
18229145,2.288230,177.026917
18229145,2.327165,185.041214
18229145,2.369725,194.031876
18229145,2.407405,202.239197
18229145,2.445326,210.719788
18229145,2.479763,218.645889
18229145,2.516580,227.332977
18229145,2.551690,235.847244
18229145,2.583681,243.804077
18229145,2.618842,252.719803
18229145,2.651713,261.265106
18229145,2.681325,269.158691
18229145,2.713718,277.946289
18229145,2.743559,286.242767
18229145,2.773788,294.819702
18229145,2.802235,303.084686
18229145,2.831228,311.679535
18229145,2.858858,320.063782
18229145,2.885223,328.245728
18229145,2.912622,336.906250
18229145,2.938284,345.214905
18229145,2.963995,353.712769
18229145,2.988473,362.000397
18229145,3.012204,370.181427
18229145,3.036868,378.859650
18229145,3.059431,387.000732
18229145,3.083118,395.694855
18229145,3.104482,403.738098
18229145,3.126692,412.215759
18229145,3.148471,420.726562
18229145,3.170090,429.337006
18229145,3.190072,437.481995
18229145,3.211094,446.171478
18229145,3.229784,454.057953
18229145,3.250430,462.874268
18229145,3.269046,470.988892
18229145,3.288720,479.644501
18229145,3.307834,488.164886
18229145,3.326080,496.391449
18229145,3.343786,504.497223
18229145,3.362713,513.232605
18229145,3.380525,521.578918
18229145,3.398304,530.008545
18229145,3.416473,538.719238
18229145,3.432999,546.754395
18229145,3.449567,554.918457
18229145,3.467366,563.770386
18229145,3.484285,572.307739
18229145,3.500246,580.477112
18229145,3.516250,588.750610
18229145,3.532503,597.267822
18229145,3.548655,605.837952
18229145,3.564311,614.241394
18229145,3.580197,622.779480
18229145,3.594564,630.520386
18229145,3.610810,639.273132
18229145,3.625978,647.478577
18229145,3.642349,656.347412
18229145,3.657877,664.797913
18229145,3.671913,672.471436
18229145,3.687638,681.091003
18229145,3.703455,689.796448
18229145,3.718632,698.193970
18229145,3.734012,706.742188
18229145,3.748543,714.858887
18229145,3.763681,723.354248
18229145,3.778842,731.902832
18229145,3.793707,740.332458
18229145,3.808189,748.590088
18229145,3.821890,756.444092
18229145,3.837067,765.181580
18229145,3.852139,773.906067
18229145,3.866565,782.305664
18229145,3.880968,790.738464
18229145,3.894984,798.987244
18229145,3.908664,807.090210
18229145,3.923520,815.928040
18229145,3.937648,824.386292
18229145,3.951719,832.858582
18229145,3.965715,841.333435
