COMID, Height(ft), Flowrate(ft^3/s)
18229213,0.367283,35.314667
18229213,0.367348,35.314812
18229213,0.367844,35.314739
18229213,0.368361,35.314739
18229213,0.368886,35.314701
18229213,0.369528,35.314774
18229213,0.370103,35.314621
18229213,0.365826,35.314526
18229213,0.360214,35.314518
18229213,0.355980,35.379856
18229213,0.361801,36.617779
18229213,0.391010,40.814045
18229213,0.416384,44.657021
18229213,0.441863,48.622822
18229213,0.468348,52.789776
18229213,0.494131,56.924698
18229213,0.518124,60.873093
18229213,0.542422,65.004524
18229213,0.564608,68.863312
18229213,0.586821,72.835022
18229213,0.610009,77.074188
18229213,0.631722,81.133293
18229213,0.652955,85.191055
18229213,0.672232,88.930130
18229213,0.694056,93.275253
18229213,0.714149,97.333649
18229213,0.733142,101.239624
18229213,0.753092,105.415871
18229213,0.771833,109.404373
18229213,0.790769,113.498901
18229213,0.808582,117.409119
18229213,0.826749,121.457481
18229213,0.844627,125.512741
18229213,0.861574,129.407242
18229213,0.879517,133.602066
18229213,0.896812,137.707962
18229213,0.913176,141.636871
18229213,0.929484,145.614868
18229213,0.946511,149.832474
18229213,0.961577,153.603058
18229213,0.978090,157.808395
18229213,0.993443,161.765640
18229213,1.008945,165.820328
18229213,1.024743,170.013153
18229213,1.039077,173.859726
18229213,1.054255,177.994247
18229213,1.069173,182.118118
18229213,1.083174,186.027374
18229213,1.097345,190.042633
18229213,1.112143,194.295074
18229213,1.125971,198.314560
18229213,1.139679,202.346893
18229213,1.153271,206.392166
18229213,1.166380,210.340088
18229213,1.179247,214.252243
18229213,1.192570,218.343903
18229213,1.205842,222.463226
18229213,1.218837,226.534958
18229213,1.231863,230.649048
18229213,1.244428,234.649612
18229213,1.256949,238.654678
18229213,1.268875,242.507477
18229213,1.281448,246.611145
18229213,1.294161,250.794449
18229213,1.306320,254.815125
18229213,1.318411,258.853577
18229213,1.330608,262.964844
18229213,1.342365,266.951477
18229213,1.354357,271.056946
18229213,1.365753,274.968872
18229213,1.377397,279.014160
18229213,1.389325,283.192017
18229213,1.400750,287.221710
18229213,1.411619,291.076202
18229213,1.423098,295.175781
18229213,1.434438,299.267517
18229213,1.445682,303.351959
18229213,1.456785,307.416504
18229213,1.467694,311.425903
18229213,1.478574,315.466064
18229213,1.489208,319.437195
18229213,1.499738,323.399597
18229213,1.510486,327.478424
18229213,1.521428,331.658234
18229213,1.531872,335.684998
18229213,1.542284,339.731415
18229213,1.552182,343.606140
18229213,1.562760,347.790253
18229213,1.572695,351.731659
18229213,1.583015,355.872253
18229213,1.593219,359.974426
18229213,1.603044,363.972382
18229213,1.612139,367.677948
18229213,1.622366,371.875458
18229213,1.632165,375.943695
18229213,1.642339,380.178955
18229213,1.651544,384.044891
18229213,1.661345,388.165405
18229213,1.670912,392.243195
18229213,1.680792,396.462219
18229213,1.689702,400.295288
18229213,1.698516,404.101471
18229213,1.708552,408.463196
18229213,1.717046,412.169830
18229213,1.727110,416.589111
18229213,1.735848,420.445496
18229213,1.745335,424.633423
18229213,1.754217,428.594666
18229213,1.763469,432.721893
18229213,1.772339,436.715271
18229213,1.781504,440.838959
18229213,1.790159,444.761719
18229213,1.798878,448.737457
18229213,1.807989,452.893646
18229213,1.816365,456.743286
18229213,1.825742,461.061951
18229213,1.833985,464.883331
18229213,1.843264,469.199127
18229213,1.851603,473.102112
18229213,1.860383,477.216278
18229213,1.868819,481.196594
18229213,1.876891,485.022583
18229213,1.885853,489.283325
18229213,1.894075,493.217346
18229213,1.902755,497.376007
18229213,1.910663,501.182556
18229213,1.919697,505.556641
18229213,1.927543,509.374176
18229213,1.936372,513.688904
18229213,1.944202,517.531860
18229213,1.952188,521.478271
18229213,1.960453,525.566650
18229213,1.968323,529.494690
18229213,1.976935,533.807007
18229213,1.984694,537.713867
18229213,1.992804,541.807129
18229213,2.000667,545.813965
18229213,2.008690,549.902344
18229213,2.016395,553.864990
18229213,2.023697,557.625671
18229213,2.032252,562.064331
18229213,2.039733,565.966980
18229213,2.047477,570.009094
18229213,2.054926,573.927246
18229213,2.063123,578.260376
18229213,2.070150,581.989624
18229213,2.078295,586.337524
18229213,2.085628,590.275085
18229213,2.092881,594.183350
18229213,2.100504,598.302490
18229213,2.107687,602.213257
18229213,2.115433,606.439331
18229213,2.122500,610.320068
18229213,2.130400,614.666626
18229213,2.137481,618.589050
18229213,2.145061,622.795288
18229213,2.151990,626.661621
18229213,2.158789,630.464294
18229213,2.166484,634.789612
18229213,2.173271,638.622681
18229213,2.180884,642.935303
18229213,2.187738,646.840027
18229213,2.195113,651.044617
18229213,2.201683,654.810181
18229213,2.209250,659.169434
18229213,2.215806,662.958374
18229213,2.222706,666.971191
