COMID, Height(ft), Flowrate(ft^3/s)
18205414,1.125769,79.458000
18205414,1.126861,79.623627
18205414,1.209262,91.432777
18205414,1.288766,103.282898
18205414,1.363387,114.878326
18205414,1.436038,126.705391
18205414,1.506054,138.557449
18205414,1.575775,150.805527
18205414,1.665280,167.026978
18205414,1.750717,183.345245
18205414,1.832085,199.720901
18205414,1.907900,215.968613
18205414,1.980806,232.310638
18205414,2.052111,248.988464
18205414,2.128042,267.508240
18205414,2.200445,286.049164
18205414,2.269320,304.559235
18205414,2.337497,323.760651
18205414,2.406220,344.063782
18205414,2.471589,364.152832
18205414,2.535102,384.442902
18205414,2.596425,404.662628
18205414,2.656341,424.918427
18205414,2.714581,445.111023
18205414,2.771425,465.312073
18205414,2.826729,485.422699
18205414,2.881308,505.779144
18205414,2.934468,526.070251
18205414,2.986206,546.284363
18205414,3.036673,566.455017
18205414,3.086129,586.690979
18205414,3.134444,606.899170
18205414,3.181719,627.127075
18205414,3.227891,647.330933
18205414,3.273070,667.535156
18205414,3.317270,687.744995
18205414,3.360705,708.044983
18205414,3.403084,728.250977
18205414,3.444793,748.537781
18205414,3.485354,768.603943
18205414,3.525614,788.913086
18205414,3.565158,809.198853
18205414,3.603930,829.421814
18205414,3.642073,849.641541
18205414,3.679347,869.712280
18205414,3.716398,890.008057
18205414,3.752861,910.282898
18205414,3.788724,930.554565
18205414,3.823917,950.767212
18205414,3.858530,970.947449
18205414,3.892720,991.194031
18205414,3.926401,1011.413879
18205414,3.959750,1031.682007
18205414,3.992553,1051.850220
18205414,4.025013,1072.052246
18205414,4.057162,1092.293945
18205414,4.088849,1112.493286
18205414,4.120338,1132.803345
18205414,4.151329,1153.019287
18205414,4.181863,1173.168335
18205414,4.212234,1193.442261
18205414,4.242208,1213.688354
18205414,4.271801,1233.911743
18205414,4.301299,1254.294312
18205414,4.329961,1274.355591
18205414,4.358310,1294.404785
18205414,4.386516,1314.599487
18205414,4.415069,1335.240845
18205414,4.442493,1355.315552
18205414,4.469649,1375.417969
18205414,4.496582,1395.565063
18205414,4.523914,1416.163696
18205414,4.550344,1436.299683
18205414,4.576578,1456.425537
18205414,4.602454,1476.459961
18205414,4.628278,1496.642578
18205414,4.654426,1517.196411
18205414,4.679892,1537.427856
18205414,4.704944,1557.470825
18205414,4.729852,1577.574707
18205414,4.754803,1597.864990
18205414,4.779573,1618.152222
18205414,4.804170,1638.395630
18205414,4.828380,1658.552246
18205414,4.852470,1678.774780
18205414,4.876873,1699.372803
18205414,4.900227,1719.298828
18205414,4.923720,1739.482178
18205414,4.947004,1759.625366
18205414,4.970250,1779.898438
18205414,4.993382,1800.217407
18205414,5.016181,1820.403687
18205414,5.038819,1840.590576
18205414,5.061378,1860.786621
18205414,5.084249,1881.456055
18205414,5.105991,1901.314819
18205414,5.127930,1921.482788
18205414,5.149784,1941.705566
18205414,5.171440,1961.909790
18205414,5.193100,1982.264526
18205414,5.214439,2002.446411
18205414,5.235607,2022.638306
18205414,5.256611,2042.817261
18205414,5.277996,2063.482666
18205414,5.298556,2083.450195
18205414,5.319088,2103.605957
18205414,5.339505,2123.785400
18205414,5.359744,2143.937988
18205414,5.379990,2164.228027
18205414,5.400006,2184.434326
18205414,5.419977,2204.718750
18205414,5.439737,2224.948242
18205414,5.459784,2245.577637
18205414,5.478865,2265.397217
18205414,5.498149,2285.528564
18205414,5.517379,2305.670898
18205414,5.536631,2326.039062
18205414,5.555774,2346.380859
18205414,5.574685,2366.608643
18205414,5.593314,2386.627930
18205414,5.612041,2406.875732
18205414,5.631109,2427.532959
18205414,5.649419,2447.517090
18205414,5.667841,2467.709961
18205414,5.686056,2487.787109
18205414,5.704314,2507.964355
18205414,5.722979,2528.666504
18205414,5.740610,2548.435303
18205414,5.758760,2568.835449
18205414,5.776644,2589.030518
18205414,5.794774,2609.584961
18205414,5.812159,2629.438232
18205414,5.829738,2649.627441
18205414,5.847283,2669.791748
18205414,5.864836,2690.113770
18205414,5.882588,2710.733398
18205414,5.899632,2730.554688
18205414,5.916847,2750.717285
18205414,5.933986,2770.893555
18205414,5.951467,2791.580566
18205414,5.968356,2811.606689
18205414,5.985115,2831.639404
18205414,6.001998,2851.844238
18205414,6.018852,2872.078857
18205414,6.035860,2892.626465
18205414,6.052320,2912.618896
18205414,6.068944,2932.851562
18205414,6.085476,2953.000732
18205414,6.102287,2973.635254
18205414,6.118392,2993.544434
18205414,6.134711,3013.724365
18205414,6.150879,3033.862061
18205414,6.167182,3054.227783
18205414,6.183632,3074.826172
18205414,6.199331,3094.615967
18205414,6.215272,3114.784668
18205414,6.231247,3135.099854
18205414,6.247562,3155.826660
18205414,6.263018,3175.591309
18205414,6.278665,3195.698486
18205414,6.294344,3215.932617
18205414,6.310030,3236.240234
18205414,6.325761,3256.702637
18205414,6.341066,3276.694580
18205414,6.356591,3297.044189
18205414,6.371778,3317.088867
18205414,6.387372,3337.637207
18205414,6.402553,3357.823730
18205414,6.417549,3377.742188
18205414,6.432618,3397.895264
18205414,6.447838,3418.323975
18205414,6.463166,3438.963379
18205414,6.477658,3458.641846
18205414,6.492611,3478.911377
18205414,6.507372,3499.083496
18205414,6.522497,3519.770508
18205414,6.537060,3539.801025
18205414,6.551591,3559.838379
18205414,6.566144,3579.989014
18205414,6.580788,3600.294922
18205414,6.595508,3620.760010
18205414,6.609679,3640.603027
18205414,6.624305,3661.177246
18205414,6.638510,3681.161865
18205414,6.652926,3701.594971
18205414,6.667376,3722.116455
18205414,6.681188,3741.832764
18205414,6.695262,3761.986816
18205414,6.709472,3782.412842
18205414,6.723766,3803.053955
18205414,6.737336,3822.625488
18205414,6.751322,3842.998535
18205414,6.765141,3863.173828
18205414,6.779288,3883.871582
18205414,6.793134,3904.219971
18205414,6.806381,3923.812744
18205414,6.819984,3943.991211
18205414,6.833744,3964.389160
18205414,6.847480,3984.906982
18205414,6.860712,4004.729004
18205414,6.874393,4025.257324
18205414,6.887631,4045.146729
18205414,6.901210,4065.682129
18205414,6.914747,4086.210693
18205414,6.927752,4106.050293
18205414,6.940820,4126.084473
18205414,6.954091,4146.397461
18205414,6.967474,4167.017578
18205414,6.980180,4186.684570
18205414,6.993228,4206.926758
18205414,7.006263,4227.200684
18205414,7.019518,4247.867188
18205414,7.032523,4268.204590
18205414,7.045125,4288.012695
18205414,7.057920,4308.244629
18205414,7.070570,4328.289062
18205414,7.083687,4349.054199
18205414,7.095978,4368.738770
18205414,7.108852,4389.327148
18205414,7.121303,4409.368164
18205414,7.133560,4429.102051
18205414,7.146565,4450.106934
18205414,7.158871,4470.052734
18205414,7.171224,4490.129395
18205414,7.183724,4510.594238
18205414,7.196119,4530.906738
18205414,7.208094,4550.693848
18205414,7.220492,4571.105957
18205414,7.232680,4591.316406
18205414,7.244810,4611.526855
18205414,7.257205,4632.146973
18205414,7.268950,4651.891602
18205414,7.280974,4672.098633
18205414,7.293110,4692.464355
18205414,7.305384,4713.201172
18205414,7.317224,4733.327148
18205414,7.328882,4753.202637
18205414,7.340623,4773.292480
18205414,7.352304,4793.390625
18205414,7.364419,4814.222168
18205414,7.376024,4834.288086
18205414,7.387359,4853.986816
18205414,7.399111,4874.444824
18205414,7.410990,4895.174316
18205414,7.422411,4915.141602
18205414,7.433815,4935.288086
18205414,7.445053,4955.170410
18205414,7.456480,4975.444336
18205414,7.468241,4996.347656
18205414,7.479268,5016.095215
18205414,7.490417,5036.115234
18205414,7.501644,5056.329590
18205414,7.513117,5077.087402
18205414,7.524222,5097.198730
18205414,7.535308,5117.434570
18205414,7.546277,5137.394043
18205414,7.557228,5157.495605
18205414,7.568540,5178.288574
18205414,7.579262,5198.117676
18205414,7.590082,5218.239746
18205414,7.601086,5238.647949
18205414,7.612061,5259.194336
18205414,7.622654,5279.076660
18205414,7.633429,5299.287109
18205414,7.644052,5319.405762
18205414,7.654787,5339.662109
18205414,7.665761,5360.491211
18205414,7.675889,5379.878906
18205414,7.686365,5399.951660
18205414,7.697175,5420.744629
18205414,7.707884,5441.318848
18205414,7.718189,5461.332031
18205414,7.728602,5481.560547
18205414,7.738698,5501.258789
18205414,7.748992,5521.405762
18205414,7.759771,5542.484863
18205414,7.770095,5562.712891
18205414,7.780020,5582.365723
18205414,7.790128,5602.463867
18205414,7.800492,5623.048828
18205414,7.810630,5643.280273
18205414,7.820757,5663.550781
18205414,7.830706,5683.553223
18205414,7.840564,5703.449219
18205414,7.850931,5724.362793
18205414,7.860817,5744.478027
18205414,7.870489,5764.197754
18205414,7.880728,5784.969727
18205414,7.890554,5805.113281
18205414,7.900325,5825.207520
18205414,7.910069,5845.304688
18205414,7.919852,5865.522461
18205414,7.929524,5885.634277
18205414,7.939675,5906.621582
18205414,7.949190,5926.524902
18205414,7.958626,5946.266113
18205414,7.968392,5966.695312
18205414,7.978232,5987.297852
18205414,7.987894,6007.494141
18205414,7.997273,6027.312988
18205414,8.006827,6047.411133
18205414,8.016335,6067.508301
18205414,8.026302,6088.587891
18205414,8.035804,6108.688965
18205414,8.045105,6128.517578
18205414,8.054620,6148.756836
18205414,8.064284,6169.327637
18205414,8.073858,6189.750000
18205414,8.083120,6209.494141
18205414,8.092381,6229.418945
18205414,8.101972,6249.933105
18205414,8.111535,6270.514648
18205414,8.120929,6290.756836
18205414,8.130223,6310.812012
18205414,8.139514,6330.909668
18205414,8.148823,6351.074707
18205414,8.158392,6371.796875
18205414,8.167464,6391.544922
18205414,8.176667,6411.628418
18205414,8.186103,6432.110840
18205414,8.195440,6452.494629
18205414,8.204547,6472.437012
18205414,8.213813,6492.750000
18205414,8.223024,6512.981445
18205414,8.232378,6533.541504
18205414,8.241473,6553.635742
18205414,8.250347,6573.260254
18205414,8.259514,6593.534180
18205414,8.268828,6614.147461
18205414,8.278117,6634.746582
18205414,8.287021,6654.473145
18205414,8.296112,6674.726562
18205414,8.305046,6694.710938
18205414,8.314284,6715.295898
18205414,8.323556,6736.063965
18205414,8.332500,6756.133301
18205414,8.341105,6775.514648
18205414,8.350167,6795.891113
18205414,8.359364,6816.599121
18205414,8.368248,6836.707520
18205414,8.377231,6856.978027
18205414,8.386017,6876.867676
18205414,8.395046,6897.346191
18205414,8.404065,6917.793945
18205414,8.412854,6937.863281
18205414,8.421572,6957.769531
18205414,8.430433,6978.008789
18205414,8.439439,6998.618164
18205414,8.448155,7018.620117
18205414,8.456945,7038.848633
18205414,8.465693,7058.932129
18205414,8.474560,7079.322754
18205414,8.483494,7099.929199
18205414,8.492149,7119.931152
18205414,8.500663,7139.668457
18205414,8.509479,7160.098145
18205414,8.518435,7180.852539
18205414,8.526988,7200.752441
18205414,8.535601,7220.835938
18205414,8.544173,7240.838379
18205414,8.552851,7261.073242
18205414,8.561810,7281.993652
18205414,8.570279,7301.762695
18205414,8.578833,7321.811035
18205414,8.587506,7342.166504
18205414,8.596253,7362.751465
18205414,8.604807,7382.849121
18205414,8.613221,7402.727539
18205414,8.621722,7422.800781
18205414,8.630302,7443.091797
18205414,8.639121,7463.931152
18205414,8.647654,7484.163086
18205414,8.655949,7503.903809
18205414,8.664439,7523.980469
18205414,8.673143,7544.727539
18205414,8.681591,7564.871582
18205414,8.690000,7584.965332
18205414,8.698405,7605.055664
18205414,8.706709,7624.948730
18205414,8.715440,7645.904297
18205414,8.723819,7665.977051
18205414,8.732048,7685.795898
18205414,8.740591,7706.391602
18205414,8.748996,7726.623047
18205414,8.757319,7746.703125
18205414,8.765837,7767.309082
18205414,8.773920,7786.943848
18205414,8.782293,7807.214844
18205414,8.790761,7827.781738
18205414,8.799066,7848.023926
18205414,8.807178,7867.769043
18205414,8.815541,7888.205078
18205414,8.823990,7908.843262
18205414,8.832287,7929.124512
18205414,8.840479,7949.204590
18205414,8.848543,7968.959473
18205414,8.856782,7989.177246
18205414,8.865262,8010.030273
18205414,8.873403,8030.117676
18205414,8.881316,8049.664062
18205414,8.889668,8070.266602
18205414,8.897996,8090.858887
18205414,8.906067,8110.850586
18205414,8.914380,8131.438477
18205414,8.922251,8150.999023
18205414,8.930345,8171.089844
18205414,8.938783,8192.020508
18205414,8.946894,8212.252930
18205414,8.954761,8231.901367
18205414,8.962809,8252.006836
18205414,8.971126,8272.767578
18205414,8.979202,8292.993164
18205414,8.987349,8313.432617
18205414,8.995191,8333.085938
18205414,9.003235,8353.320312
18205414,9.011417,8373.898438
18205414,9.019482,8394.159180
18205414,9.027320,8413.916992
18205414,9.035476,8434.508789
18205414,9.043570,8454.991211
18205414,9.051381,8474.725586
18205414,9.059505,8495.306641
18205414,9.067339,8515.216797
18205414,9.075266,8535.307617
18205414,9.083458,8556.146484
18205414,9.091264,8576.029297
18205414,9.098996,8595.773438
18205414,9.107054,8616.227539
18205414,9.115191,8637.000000
18205414,9.123097,8657.239258
18205414,9.130921,8677.222656
18205414,9.138609,8696.953125
18205414,9.146493,8717.185547
18205414,9.154669,8738.140625
18205414,9.162550,8758.408203
18205414,9.170308,8778.385742
18205414,9.178035,8798.285156
18205414,9.186010,8818.849609
18205414,9.193802,8838.963867
18205414,9.201706,8859.397461
18205414,9.209465,8879.466797
18205414,9.217038,8899.105469
18205414,9.225112,8920.040039
18205414,9.232906,8940.268555
18205414,9.240630,8960.358398
18205414,9.248337,8980.452148
18205414,9.256148,9000.765625
18205414,9.263898,9021.011719
18205414,9.271739,9041.458984
18205414,9.279275,9061.185547
18205414,9.286963,9081.293945
18205414,9.295003,9102.369141
18205414,9.302536,9122.173828
18205414,9.310204,9142.275391
18205414,9.317883,9162.510742
18205414,9.325699,9183.091797
18205414,9.333317,9203.188477
18205414,9.340964,9223.365234
18205414,9.348477,9243.232422
18205414,9.356079,9263.333984
18205414,9.364002,9284.278320
18205414,9.371568,9304.372070
18205414,9.379006,9324.138672
18205414,9.386650,9344.419922
18205414,9.394370,9364.997070
18205414,9.401965,9385.243164
18205414,9.409619,9405.691406
18205414,9.416883,9425.068359
18205414,9.424357,9445.066406
18205414,9.432286,9466.311523
