COMID, Height(ft), Flowrate(ft^3/s)
18228309,2.290106,26.486000
18228309,2.290092,26.486078
18228309,2.291896,26.486021
18228309,2.293964,26.485975
18228309,2.296114,26.485964
18228309,2.298315,26.485886
18228309,2.300489,26.485933
18228309,2.302634,26.485802
18228309,2.304627,26.485781
18228309,2.306434,26.485985
18228309,2.308185,26.485765
18228309,2.309822,26.485729
18228309,2.311358,26.485844
18228309,2.312843,26.485863
18228309,2.314290,26.485760
18228309,2.315670,26.485682
18228309,2.316966,26.485687
18228309,2.318178,26.485802
18228309,2.319365,26.485672
18228309,2.320493,26.485676
18228309,2.321550,26.485933
18228309,2.322621,26.485703
18228309,2.323608,26.485777
18228309,2.324541,26.485954
18228309,2.325480,26.485693
18228309,2.326346,26.485785
18228309,2.327195,26.485756
18228309,2.327990,26.485964
18228309,2.328784,26.485853
18228309,2.329533,26.485809
18228309,2.330221,26.485989
18228309,2.331769,26.520916
18228309,2.352626,27.205439
18228309,2.377575,28.037128
18228309,2.403695,28.946312
18228309,2.428040,29.812820
18228309,2.452271,30.703814
18228309,2.475258,31.567488
18228309,2.498228,32.460228
18228309,2.520114,33.334419
18228309,2.540917,34.190598
18228309,2.561813,35.089893
18228309,2.581419,35.964317
18228309,2.600411,36.852726
18228309,2.617491,37.681282
18228309,2.635020,38.568172
18228309,2.652066,39.469791
18228309,2.667592,40.322144
18228309,2.683107,41.223484
18228309,2.696450,42.033352
18228309,2.710551,42.949165
18228309,2.723373,43.835709
18228309,2.735408,44.731747
18228309,2.746050,45.582191
18228309,2.756669,46.453300
18228309,2.767172,47.311554
18228309,2.778292,48.226910
18228309,2.788653,49.075348
18228309,2.799543,49.973679
18228309,2.809897,50.829033
18228309,2.820648,51.719814
18228309,2.830895,52.567539
18228309,2.841759,53.475021
18228309,2.852170,54.344364
18228309,2.862236,55.188774
18228309,2.872977,56.096004
18228309,2.883302,56.968456
18228309,2.893383,57.821903
18228309,2.904093,58.738358
18228309,2.914072,59.593605
18228309,2.924044,60.448643
18228309,2.934404,61.344650
18228309,2.944619,62.231400
18228309,2.954818,63.121117
18228309,2.964447,63.963905
18228309,2.974562,64.854782
18228309,2.984157,65.699684
18228309,2.994359,66.608513
18228309,3.003982,67.465454
18228309,3.013805,68.350441
18228309,3.023590,69.233063
18228309,3.032885,70.071785
18228309,3.042707,70.968140
18228309,3.052538,71.870789
18228309,3.061685,72.712723
18228309,3.071304,73.604172
18228309,3.080764,74.484665
18228309,3.090213,75.369339
18228309,3.099641,76.257011
18228309,3.108577,77.102303
18228309,3.117676,77.965919
18228309,3.126662,78.822731
18228309,3.136075,79.729919
18228309,3.145406,80.634048
18228309,3.154077,81.476448
18228309,3.163087,82.356911
18228309,3.172163,83.249908
18228309,3.180778,84.098175
18228309,3.189951,85.012756
18228309,3.198434,85.860588
18228309,3.207217,86.743134
18228309,3.215971,87.627907
18228309,3.224479,88.490364
18228309,3.233167,89.378387
18228309,3.241465,90.231133
18228309,3.250039,91.117065
18228309,3.258242,91.965645
18228309,3.266997,92.883362
18228309,3.275425,93.768921
18228309,3.283333,94.602982
18228309,3.291391,95.456078
18228309,3.299898,96.367332
18228309,3.308245,97.265701
18228309,3.316391,98.145638
18228309,3.323999,98.969742
18228309,3.332185,99.864830
18228309,3.340338,100.761787
18228309,3.348028,101.607399
18228309,3.356260,102.525612
18228309,3.363773,103.363487
18228309,3.371388,104.215347
18228309,3.379324,105.112869
18228309,3.387050,105.990723
18228309,3.394839,106.880692
18228309,3.402424,107.754440
18228309,3.409734,108.595291
18228309,3.417615,109.514168
18228309,3.425207,110.401947
18228309,3.432674,111.279762
18228309,3.439623,112.097862
18228309,3.447316,113.015625
18228309,3.454597,113.884148
18228309,3.461926,114.765846
18228309,3.469331,115.662102
18228309,3.476027,116.472366
18228309,3.483438,117.381615
18228309,3.490554,118.255188
18228309,3.497772,119.148438
18228309,3.504711,120.008667
18228309,3.511460,120.852966
18228309,3.518704,121.766838
18228309,3.525427,122.613266
18228309,3.532411,123.503372
18228309,3.539541,124.419006
18228309,3.546027,125.252151
18228309,3.552920,126.145332
18228309,3.559629,127.018700
18228309,3.566453,127.911736
18228309,3.572992,128.766068
18228309,3.579642,129.645752
18228309,3.586309,130.525864
18228309,3.592838,131.389450
18228309,3.599363,132.255722
18228309,3.606191,133.171753
18228309,3.612349,133.993347
18228309,3.619065,134.897720
18228309,3.625535,135.768814
18228309,3.631985,136.638977
18228309,3.638724,137.555649
18228309,3.644970,138.404709
18228309,3.651197,139.250885
18228309,3.657641,140.131668
18228309,3.664331,141.053238
18228309,3.670732,141.934311
18228309,3.676641,142.745987
18228309,3.683012,143.627472
18228309,3.689623,144.549072
18228309,3.695951,145.431015
18228309,3.702156,146.295776
18228309,3.708287,147.156006
18228309,3.714354,148.005829
18228309,3.720781,148.914291
18228309,3.726854,149.769547
18228309,3.733304,150.688110
18228309,3.739233,151.531708
18228309,3.745414,152.413330
18228309,3.751549,153.290649
18228309,3.757792,154.189026
18228309,3.763878,155.064117
18228309,3.769797,155.919312
18228309,3.775659,156.764771
18228309,3.781736,157.648270
18228309,3.787992,158.562897
18228309,3.793861,159.418030
18228309,3.799728,160.279816
18228309,3.805820,161.177658
18228309,3.811827,162.063919
18228309,3.817746,162.938934
18228309,3.823684,163.821350
18228309,3.829354,164.665024
18228309,3.835335,165.559845
18228309,3.841086,166.420090
18228309,3.846936,167.299133
18228309,3.852930,168.205017
18228309,3.858346,169.020935
18228309,3.864137,169.899429
18228309,3.870121,170.813690
18228309,3.875813,171.680634
18228309,3.881618,172.571167
