COMID, Height(ft), Flowrate(ft^3/s)
18228293,3.559672,158.916000
18228293,3.560426,158.969650
18228293,4.386464,204.778275
18228293,5.397123,266.213043
18228293,6.444580,337.300110
18228293,7.336887,407.935608
18228293,8.164177,482.119354
18228293,8.938993,557.909546
18228293,9.699446,638.523071
18228293,10.408724,720.012024
18228293,11.102681,803.287903
18228293,11.757224,886.542542
18228293,12.387897,971.322449
18228293,12.989036,1056.174805
18228293,13.563953,1141.231934
18228293,14.111371,1225.776001
18228293,14.642716,1311.334229
18228293,15.150724,1395.890625
18228293,15.645247,1481.388916
18228293,16.123001,1566.352417
18228293,16.586023,1651.419800
18228293,17.034512,1735.996704
18228293,17.473766,1821.454590
18228293,17.900135,1906.410278
18228293,18.316833,1991.566040
18228293,18.728027,2077.453369
18228293,19.128918,2163.132080
18228293,19.519859,2248.444580
18228293,19.904173,2334.254883
18228293,20.281328,2420.315430
18228293,20.650499,2505.919922
18228293,21.012665,2591.930908
18228293,21.367910,2677.578613
18228293,21.715834,2763.086426
18228293,22.060947,2849.416992
18228293,22.396250,2934.687012
18228293,22.728468,3020.702637
18228293,23.053658,3106.199463
18228293,23.376591,3192.295166
18228293,23.695122,3278.432373
18228293,24.006742,3364.147949
18228293,24.313808,3449.595947
18228293,24.617109,3535.573975
18228293,24.917093,3621.296631
18228293,25.211575,3706.793457
18228293,25.504019,3792.614990
18228293,25.791769,3878.578125
18228293,26.079590,3964.982666
18228293,26.359827,4050.560303
18228293,26.637779,4136.156250
18228293,26.911684,4221.783691
18228293,27.182381,4307.315430
18228293,27.452513,4393.247070
18228293,27.718479,4479.004883
18228293,27.980814,4564.438477
18228293,28.242132,4650.518066
18228293,28.502048,4737.000000
18228293,28.757635,4822.631348
18228293,29.009106,4908.208984
18228293,29.260481,4994.217773
18228293,29.507269,5079.583984
18228293,29.753778,5165.674316
18228293,29.996614,5251.216797
18228293,30.236162,5336.649902
18228293,30.476978,5422.719238
18228293,30.714548,5508.681641
18228293,30.949234,5594.387207
18228293,31.183231,5680.731445
18228293,31.414211,5766.306152
18228293,31.645077,5852.660645
18228293,31.872553,5938.769043
18228293,32.097778,6024.378418
18228293,32.322948,6110.825684
18228293,32.545895,6196.890625
18228293,32.766621,6282.871094
18228293,32.985073,6368.689453
18228293,33.203247,6454.937988
18228293,33.419193,6540.650879
18228293,33.634941,6627.128906
18228293,33.848949,6713.480469
18228293,34.059612,6799.164551
18228293,34.271229,6885.579590
18228293,34.480610,6971.761719
18228293,34.686844,7057.544434
18228293,34.893768,7143.687500
18228293,35.097179,7229.223145
18228293,35.301605,7315.719238
18228293,35.504295,7402.056641
18228293,35.704952,7488.228027
18228293,35.902069,7573.357422
18228293,36.101116,7659.835938
18228293,36.298752,7746.152344
18228293,36.493469,7831.663086
18228293,36.687794,7917.968262
18228293,36.881100,8003.854004
18228293,37.072769,8089.746094
18228293,37.265224,8176.352051
18228293,37.453609,8261.710938
18228293,37.645210,8348.761719
18228293,37.833561,8434.886719
18228293,38.019684,8520.666016
18228293,38.205544,8606.727539
18228293,38.389271,8692.461914
18228293,38.575100,8779.198242
18228293,38.756332,8864.754883
18228293,38.937893,8950.420898
18228293,39.120308,9037.139648
18228293,39.298592,9122.569336
18228293,39.479855,9209.405273
18228293,39.657513,9295.311523
18228293,39.834908,9381.422852
18228293,40.010990,9467.321289
18228293,40.185532,9553.083984
18228293,40.360794,9639.371094
18228293,40.535103,9725.613281
18228293,40.707973,9811.833984
18228293,40.877853,9897.225586
18228293,41.049870,9983.523438
18228293,41.220242,10069.747070
18228293,41.388878,10155.300781
18228293,41.557514,10241.546875
18228293,41.727428,10328.268555
18228293,41.893505,10413.857422
18228293,42.062141,10500.866211
18228293,42.226082,10586.104492
18228293,42.392849,10672.908203
18228293,42.555412,10757.822266
18228293,42.720043,10844.191406
18228293,42.883530,10930.345703
18228293,43.045277,11016.036133
18228293,43.208138,11102.416016
18228293,43.368732,11188.127930
18228293,43.529167,11274.351562
18228293,43.687729,11360.103516
18228293,43.846325,11446.437500
18228293,44.004494,11532.763672
18228293,44.160530,11619.065430
18228293,44.313843,11704.516602
18228293,44.467781,11790.829102
18228293,44.619980,11877.173828
18228293,44.771194,11963.540039
18228293,44.917095,12048.361328
18228293,45.065159,12134.692383
18228293,45.212006,12221.505859
18228293,45.357121,12308.004883
18228293,45.497833,12393.643555
18228293,45.636253,12478.850586
18228293,45.776638,12566.116211
18228293,45.912598,12652.139648
18228293,46.045277,12737.350586
18228293,46.177528,12823.804688
18228293,46.308037,12910.237305
18228293,46.434647,12995.864258
18228293,46.559120,13081.414062
18228293,46.681396,13167.201172
18228293,46.802887,13253.844727
18228293,46.921162,13340.143555
18228293,47.036846,13426.333008
18228293,47.149082,13512.055664
18228293,47.259548,13598.060547
18228293,47.367390,13684.225586
18228293,47.471489,13769.884766
18228293,47.573589,13855.759766
18228293,47.673031,13941.697266
18228293,47.771557,14028.324219
18228293,47.867947,14115.424805
18228293,47.959187,14201.217773
18228293,48.047867,14287.211914
18228293,48.133236,14372.726562
18228293,48.218307,14459.371094
18228293,48.296818,14544.422852
18228293,48.375259,14630.368164
18228293,48.453053,14717.090820
18228293,48.526772,14803.650391
18228293,48.596294,14888.938477
18228293,48.664993,14975.088867
18228293,48.731430,15061.588867
18228293,48.794193,15147.294922
18228293,48.854298,15232.875000
18228293,48.914337,15319.612305
18228293,48.970699,15405.542969
18228293,49.025032,15491.378906
18228293,49.077560,15577.631836
18228293,49.126083,15662.961914
18228293,49.175526,15749.669922
18228293,49.219490,15834.831055
18228293,49.266174,15922.108398
18228293,49.308857,16008.240234
18228293,49.350197,16094.486328
18228293,49.389141,16180.257812
18228293,49.426411,16266.080078
18228293,49.463352,16352.778320
18228293,49.498161,16438.863281
18228293,49.529823,16524.195312
18228293,49.561646,16610.289062
18228293,49.592323,16696.195312
18228293,49.623882,16783.160156
18228293,49.651741,16868.955078
18228293,49.678509,16954.384766
18228293,49.705872,17040.845703
18228293,49.731529,17127.171875
18228293,49.755741,17212.845703
18228293,49.779495,17298.341797
18228293,49.802788,17384.884766
18228293,49.824867,17470.703125
18228293,49.846786,17556.531250
18228293,49.867916,17642.726562
18228293,49.890453,17729.308594
18228293,49.910301,17815.210938
18228293,49.930378,17901.535156
18228293,49.949867,17987.511719
18228293,49.969227,18073.513672
18228293,49.987335,18159.324219
18228293,50.007122,18246.138672
18228293,50.025032,18331.599609
18228293,50.043011,18417.632812
18228293,50.061024,18503.572266
18228293,50.079922,18590.578125
18228293,50.098164,18676.730469
18228293,50.115124,18762.035156
18228293,50.131660,18847.582031
18228293,50.150818,18934.876953
