COMID, Height(ft), Flowrate(ft^3/s)
18205418,0.449805,26.486000
18205418,0.449936,26.488111
18205418,0.454034,26.487999
18205418,0.457159,26.488188
18205418,0.459365,26.486578
18205418,0.461095,26.486713
18205418,0.462497,26.486969
18205418,0.463528,26.486353
18205418,0.464057,26.486158
18205418,0.464568,26.487495
18205418,0.468729,26.813370
18205418,0.502033,29.779566
18205418,0.534334,32.769909
18205418,0.565299,35.739399
18205418,0.595302,38.713032
18205418,0.624418,41.681194
18205418,0.653043,44.676834
18205418,0.680651,47.638107
18205418,0.707729,50.613155
18205418,0.733906,53.556808
18205418,0.760135,56.574730
18205418,0.785343,59.541340
18205418,0.809969,62.503605
18205418,0.834316,65.495430
18205418,0.858027,68.470123
18205418,0.881004,71.412331
18205418,0.903914,74.403519
18205418,0.926454,77.406815
18205418,0.948310,80.373604
18205418,0.969684,83.330185
18205418,0.990784,86.304909
18205418,1.011365,89.262337
18205418,1.031883,92.259071
18205418,1.051837,95.226776
18205418,1.071374,98.188866
18205418,1.090789,101.189476
18205418,1.109718,104.162415
18205418,1.128262,107.119911
18205418,1.146639,110.100716
18205418,1.164433,113.044617
18205418,1.182329,116.062111
18205418,1.199605,119.032707
18205418,1.216594,122.000984
18205418,1.233500,124.999969
18205418,1.249872,127.948425
18205418,1.266166,130.930008
18205418,1.282034,133.893127
18205418,1.297629,136.863785
18205418,1.313075,139.867340
18205418,1.327985,142.827560
18205418,1.342645,145.794159
18205418,1.357214,148.790405
18205418,1.371464,151.767044
18205418,1.385414,154.728317
18205418,1.399157,157.692520
18205418,1.412675,160.655258
18205418,1.426103,163.656708
18205418,1.439124,166.630463
18205418,1.451822,169.595322
18205418,1.464225,172.556778
18205418,1.476518,175.559448
18205418,1.488411,178.531250
18205418,1.500017,181.499054
18205418,1.511354,184.466156
18205418,1.522590,187.465088
18205418,1.533456,190.420563
18205418,1.544201,193.397034
18205418,1.554823,196.398285
18205418,1.565106,199.360306
18205418,1.575197,202.324615
18205418,1.585125,205.298950
18205418,1.594916,208.293839
18205418,1.604430,211.263626
18205418,1.613771,214.234482
18205418,1.622995,217.187943
18205418,1.632258,220.167252
18205418,1.641490,223.154617
18205418,1.650662,226.134995
18205418,1.659705,229.089951
18205418,1.668761,232.062500
18205418,1.677865,235.066360
18205418,1.686791,238.026749
18205418,1.695705,241.000763
18205418,1.704646,243.997116
18205418,1.713472,246.968994
18205418,1.722194,249.922852
18205418,1.730933,252.895676
18205418,1.739715,255.899048
18205418,1.748321,258.857239
18205418,1.756937,261.831573
18205418,1.765492,264.799591
18205418,1.774009,267.768341
18205418,1.782558,270.764709
18205418,1.790983,273.735138
18205418,1.799337,276.693115
18205418,1.807694,279.665833
18205418,1.816084,282.667328
18205418,1.824320,285.628662
18205418,1.832537,288.597839
18205418,1.840818,291.605957
18205418,1.848914,294.562134
18205418,1.857022,297.534943
18205418,1.865086,300.505554
18205418,1.873190,303.506836
18205418,1.881153,306.472778
18205418,1.889093,309.439972
18205418,1.896985,312.403961
18205418,1.904929,315.402496
18205418,1.912750,318.368744
18205418,1.920539,321.338013
18205418,1.928262,324.298248
18205418,1.935988,327.273376
18205418,1.943728,330.271271
18205418,1.951359,333.240997
18205418,1.958918,336.199188
18205418,1.966458,339.167999
18205418,1.974058,342.172668
18205418,1.981509,345.132996
18205418,1.988966,348.108002
18205418,1.996352,351.069763
18205418,2.004160,354.217743
18205418,2.011144,357.041504
18205418,2.018101,359.866699
18205418,2.025871,363.043945
18205418,2.032771,365.871948
18205418,2.040461,369.049591
18205418,2.047294,371.876495
18205418,2.054893,375.042847
18205418,2.061678,377.875763
18205418,2.068407,380.699890
18205418,2.075919,383.876801
18205418,2.082588,386.704773
18205418,2.090030,389.884521
18205418,2.096621,392.709686
18205418,2.103957,395.878113
18205418,2.110508,398.713898
18205418,2.116980,401.535156
18205418,2.124210,404.706421
18205418,2.130636,407.532288
18205418,2.137817,410.713440
18205418,2.144192,413.545349
18205418,2.151291,416.723663
18205418,2.157562,419.539276
18205418,2.163858,422.375763
18205418,2.170831,425.542084
18205418,2.177072,428.379272
18205418,2.183996,431.550873
18205418,2.190149,434.378876
18205418,2.196285,437.206512
18205418,2.203117,440.377777
18205418,2.209212,443.211426
18205418,2.215975,446.379517
18205418,2.222020,449.214569
18205418,2.228735,452.387939
18205418,2.234695,455.209930
18205418,2.240653,458.041809
18205418,2.247293,461.220123
18205418,2.253186,464.046722
18205418,2.259750,467.221893
18205418,2.265566,470.038940
18205418,2.272104,473.227142
18205418,2.277856,476.042389
18205418,2.283621,478.875336
18205418,2.290037,482.053680
18205418,2.295716,484.875671
18205418,2.302071,488.056458
18205418,2.307699,490.881287
18205418,2.313989,494.062408
18205418,2.319549,496.887238
18205418,2.325079,499.706421
18205418,2.331282,502.891449
18205418,2.336764,505.715210
18205418,2.342889,508.893860
18205418,2.348320,511.719757
18205418,2.354381,514.897766
18205418,2.359753,517.722229
18205418,2.365104,520.549500
18205418,2.371066,523.723572
18205418,2.376355,526.547668
18205418,2.382265,529.730225
18205418,2.387487,532.547607
18205418,2.392702,535.372864
18205418,2.398545,538.558899
18205418,2.403705,541.379150
18205418,2.409487,544.559937
18205418,2.414614,547.386536
18205418,2.420342,550.565552
18205418,2.425410,553.383667
18205418,2.430486,556.216919
18205418,2.436134,559.392456
18205418,2.441146,562.219421
18205418,2.446749,565.395935
18205418,2.451727,568.223572
18205418,2.457285,571.401550
18205418,2.462209,574.222839
18205418,2.467131,577.052979
18205418,2.472611,580.227051
18205418,2.477491,583.056824
18205418,2.482931,586.233398
18205418,2.487755,589.056091
18205418,2.493154,592.235779
18205418,2.497927,595.056396
18205418,2.502703,597.884399
18205418,2.508035,601.063721
18205418,2.512765,603.888916
18205418,2.518052,607.067993
18205418,2.522745,609.894897
18205418,2.527975,613.066895
18205418,2.532624,615.891663
18205418,2.537271,618.724304
18205418,2.542454,621.901550
18205418,2.547049,624.717896
18205418,2.552202,627.895142
18205418,2.556813,630.731628
18205418,2.561952,633.908508
18205418,2.566510,636.725891
18205418,2.571075,639.551819
18205418,2.576196,642.736816
18205418,2.580742,645.563354
18205418,2.585814,648.732544
18205418,2.590337,651.556641
18205418,2.594872,654.392029
18205418,2.599919,657.568604
18205418,2.604414,660.391724
18205418,2.609453,663.571472
18205418,2.613919,666.387817
18205418,2.618948,669.573120
18205418,2.623402,672.392639
18205418,2.627870,675.225281
18205418,2.632851,678.399353
18205418,2.637300,681.230835
18205418,2.642267,684.408142
18205418,2.646681,687.230103
18205418,2.651627,690.410950
18205418,2.656024,693.232178
18205418,2.660429,696.063049
18205418,2.665347,699.239624
18205418,2.669726,702.065125
18205418,2.674627,705.242676
18205418,2.678988,708.068298
18205418,2.683872,711.247253
18205418,2.688204,714.065796
18205418,2.692544,716.893005
18205418,2.697397,720.071045
18205418,2.701702,722.893372
18205418,2.706550,726.078735
18205418,2.710843,728.898926
18205418,2.715667,732.082581
18205418,2.719942,734.902466
18205418,2.724222,737.729370
18205418,2.729016,740.911255
18205418,2.733272,743.734253
18205418,2.738038,746.910828
18205418,2.742287,749.739563
18205418,2.747036,752.917175
18205418,2.751248,755.738464
18205418,2.755470,758.564697
18205418,2.760199,761.746521
18205418,2.764389,764.564270
18205418,2.769102,767.746826
18205418,2.773280,770.566040
18205418,2.777983,773.753479
18205418,2.782156,776.578674
18205418,2.786307,779.395447
18205418,2.790976,782.577271
18205418,2.795125,785.406311
18205418,2.799770,788.582825
18205418,2.803906,791.408386
18205418,2.808029,794.230042
18205418,2.812659,797.412598
18205418,2.816771,800.236694
18205418,2.821382,803.417175
18205418,2.825482,806.242676
18205418,2.830060,809.413574
18205418,2.834157,812.246155
18205418,2.838227,815.066406
18205418,2.842784,818.243652
18205418,2.846853,821.071655
18205418,2.851403,824.250000
18205418,2.855453,827.075134
18205418,2.859986,830.252380
18205418,2.864023,833.077881
18205418,2.868057,835.905884
18205418,2.872570,839.084961
18205418,2.876581,841.907288
18205418,2.881079,845.087708
18205418,2.885075,847.910095
18205418,2.889547,851.089478
18205418,2.893536,853.916382
18205418,2.897516,856.742676
18205418,2.901968,859.920227
18205418,2.905930,862.743958
18205418,2.910369,865.923401
18205418,2.914314,868.745728
18205418,2.918740,871.927246
18205418,2.922674,874.752380
18205418,2.926599,877.575134
18205418,2.930997,880.754883
18205418,2.934895,883.574707
18205418,2.939276,886.753723
18205418,2.943177,889.579651
18205418,2.947069,892.405151
18205418,2.951426,895.583130
18205418,2.955306,898.409729
18205418,2.959650,901.589783
18205418,2.963516,904.416382
18205418,2.967836,907.591187
18205418,2.971680,910.413147
18205418,2.975517,913.239075
18205418,2.979827,916.423035
18205418,2.983657,919.248535
18205418,2.987941,922.425110
18205418,2.991760,925.252380
18205418,2.996020,928.423950
18205418,2.999823,931.249573
18205418,3.003628,934.080383
18205418,3.007867,937.252319
18205418,3.011652,940.078552
18205418,3.015886,943.255432
18205418,3.019658,946.085938
18205418,3.023881,949.264587
18205418,3.027630,952.083801
18205418,3.031395,954.915283
18205418,3.035595,958.092529
18205418,3.039330,960.913879
18205418,3.043519,964.091797
18205418,3.047247,966.915527
18205418,3.051430,970.099182
18205418,3.055145,972.922607
18205418,3.058861,975.750610
18205418,3.063005,978.926086
18205418,3.066710,981.754089
18205418,3.070851,984.931335
18205418,3.074539,987.756165
18205418,3.078669,990.934875
18205418,3.082340,993.756531
18205418,3.086010,996.581299
18205418,3.090127,999.763489
18205418,3.093783,1002.586609
18205418,3.097882,1005.766296
18205418,3.101531,1008.592163
18205418,3.105607,1011.770874
18205418,3.109244,1014.595703
18205418,3.112876,1017.421509
18205418,3.116934,1020.595581
18205418,3.120561,1023.425049
18205418,3.124605,1026.598389
18205418,3.128218,1029.426392
18205418,3.131824,1032.253662
18205418,3.135856,1035.431030
18205418,3.139446,1038.254761
18205418,3.143454,1041.429810
18205418,3.147039,1044.258301
18205418,3.151050,1047.437866
18205418,3.154617,1050.262085
18205418,3.158175,1053.085083
18205418,3.162167,1056.266602
18205418,3.165714,1059.089966
18205418,3.169684,1062.266602
18205418,3.173225,1065.093872
18205418,3.177182,1068.271851
18205418,3.180703,1071.094116
18205418,3.184221,1073.923584
18205418,3.188156,1077.100220
18205418,3.191666,1079.927856
18205418,3.195589,1083.105103
18205418,3.199084,1085.930908
18205418,3.202993,1089.108521
18205418,3.206471,1091.930908
18205418,3.209952,1094.758911
18205418,3.213842,1097.937256
18205418,3.217307,1100.762695
18205418,3.221182,1103.940674
18205418,3.224623,1106.763428
18205418,3.228488,1109.943848
18205418,3.231924,1112.766235
18205418,3.235358,1115.591797
18205418,3.239200,1118.769287
18205418,3.242624,1121.596313
18205418,3.246455,1124.776001
18205418,3.249861,1127.598755
18205418,3.253267,1130.424927
18205418,3.257077,1133.604004
18205418,3.260468,1136.429199
18205418,3.264252,1139.604980
18205418,3.267636,1142.432617
18205418,3.271418,1145.610962
18205418,3.274786,1148.436035
18205418,3.278144,1151.258911
18205418,3.281906,1154.437500
18205418,3.285259,1157.263428
18205418,3.289006,1160.440186
18205418,3.292346,1163.267578
18205418,3.296086,1166.447021
18205418,3.299410,1169.270386
18205418,3.302726,1172.097412
18205418,3.306437,1175.273560
18205418,3.309751,1178.101196
18205418,3.313452,1181.278076
18205418,3.316749,1184.101196
18205418,3.320439,1187.280762
18205418,3.323727,1190.107178
18205418,3.327011,1192.932617
18205418,3.330686,1196.110596
18205418,3.333957,1198.935791
18205418,3.337611,1202.113281
18205418,3.340876,1204.937500
18205418,3.344528,1208.115356
18205418,3.347782,1210.942017
18205418,3.351033,1213.768555
18205418,3.354672,1216.946167
18205418,3.357910,1219.770630
18205418,3.361535,1222.947632
18205418,3.364767,1225.774902
18205418,3.368386,1228.953247
18205418,3.371604,1231.777344
18205418,3.374813,1234.601440
18205418,3.378416,1237.781250
18205418,3.381624,1240.607422
18205418,3.385213,1243.785400
18205418,3.388412,1246.609863
18205418,3.391604,1249.434326
18205418,3.395177,1252.611938
18205418,3.398363,1255.436401
18205418,3.401926,1258.615112
18205418,3.405105,1261.440186
18205418,3.408658,1264.618896
18205418,3.411818,1267.445068
18205418,3.414984,1270.270996
18205418,3.418524,1273.449341
18205418,3.421677,1276.274902
18205418,3.425204,1279.451782
18205418,3.428347,1282.276733
18205418,3.431870,1285.456299
18205418,3.435003,1288.281128
18205418,3.438133,1291.105347
18205418,3.441637,1294.285034
18205418,3.444757,1297.108154
18205418,3.448245,1300.288452
18205418,3.451355,1303.111938
18205418,3.454842,1306.291626
18205418,3.457946,1309.117065
18205418,3.461043,1311.941650
18205418,3.464511,1315.118896
18205418,3.467598,1317.943726
18205418,3.471056,1321.122070
18205418,3.474140,1323.948242
18205418,3.477588,1327.127319
18205418,3.480653,1329.952515
18205418,3.483721,1332.776245
18205418,3.487156,1335.955933
18205418,3.490213,1338.780762
18205418,3.493635,1341.958008
18205418,3.496686,1344.784302
18205418,3.500102,1347.962280
18205418,3.503140,1350.786621
18205418,3.506178,1353.612183
18205418,3.509580,1356.791626
18205418,3.512605,1359.615356
18205418,3.515988,1362.794312
18205418,3.519009,1365.620239
18205418,3.522385,1368.798340
18205418,3.525394,1371.622314
18205418,3.528406,1374.448975
18205418,3.531765,1377.625854
18205418,3.534767,1380.452026
18205418,3.538127,1383.630371
18205418,3.541116,1386.454834
18205418,3.544107,1389.280762
18205418,3.547454,1392.457764
18205418,3.550430,1395.283936
18205418,3.553770,1398.461548
18205418,3.556749,1401.287720
18205418,3.560082,1404.465332
18205418,3.563051,1407.290894
18205418,3.566020,1410.114624
18205418,3.569344,1413.294678
18205418,3.572307,1416.119995
18205418,3.575623,1419.298218
18205418,3.578580,1422.122070
18205418,3.581890,1425.301025
18205418,3.584833,1428.125488
18205418,3.587782,1430.952515
18205418,3.591083,1434.130371
18205418,3.594023,1436.955444
