COMID, Height(ft), Flowrate(ft^3/s)
18229301,8.399632,8828.666992
18229301,8.399652,8828.702148
18229301,8.411136,8842.107422
18229301,8.422563,8855.516602
18229301,8.433914,8868.911133
18229301,8.445197,8882.302734
18229301,8.456444,8895.740234
18229301,8.467595,8909.127930
18229301,8.478671,8922.518555
18229301,8.489715,8935.945312
18229301,8.500690,8949.351562
18229301,8.511621,8962.770508
18229301,8.522470,8976.155273
18229301,8.533287,8989.578125
18229301,8.544045,9002.972656
18229301,8.554754,9016.388672
18229301,8.565407,9029.808594
18229301,8.576007,9043.204102
18229301,8.586569,9056.598633
18229301,8.597080,9070.017578
18229301,8.607546,9083.433594
18229301,8.617959,9096.803711
18229301,8.628346,9110.249023
18229301,8.638678,9123.666992
18229301,8.648963,9137.083984
18229301,8.659190,9150.467773
18229301,8.669374,9163.884766
18229301,8.679518,9177.310547
18229301,8.689590,9190.669922
18229301,8.699626,9204.079102
18229301,8.709626,9217.505859
18229301,8.719577,9230.924805
18229301,8.729455,9244.285156
18229301,8.739305,9257.697266
18229301,8.749141,9271.145508
18229301,8.758910,9284.565430
18229301,8.768602,9297.920898
18229301,8.778265,9311.330078
18229301,8.787897,9324.763672
18229301,8.797461,9338.148438
18229301,8.806981,9351.552734
18229301,8.816453,9364.961914
18229301,8.825909,9378.406250
18229301,8.835273,9391.787109
18229301,8.844604,9405.204102
18229301,8.853878,9418.619141
18229301,8.863107,9432.003906
18229301,8.872290,9445.419922
18229301,8.881424,9458.834961
18229301,8.890499,9472.254883
18229301,8.899510,9485.622070
18229301,8.908524,9499.062500
18229301,8.917440,9512.421875
18229301,8.926368,9525.898438
18229301,8.935170,9539.191406
18229301,8.943990,9552.664062
18229301,8.952779,9566.097656
18229301,8.961495,9579.462891
18229301,8.970203,9592.950195
18229301,8.978854,9606.355469
18229301,8.987382,9619.528320
18229301,8.995968,9633.088867
18229301,9.004484,9646.501953
18229301,9.012969,9659.903320
18229301,9.021480,9673.411133
18229301,9.029895,9686.841797
18229301,9.038294,9700.309570
18229301,9.046647,9713.660156
18229301,9.054901,9726.902344
18229301,9.063186,9740.265625
18229301,9.071473,9753.812500
18229301,9.079675,9767.171875
18229301,9.087904,9780.666016
18229301,9.096063,9794.083984
18229301,9.104213,9807.567383
18229301,9.112333,9820.990234
18229301,9.120328,9834.166992
18229301,9.128349,9847.495117
18229301,9.136411,9861.062500
18229301,9.144383,9874.429688
18229301,9.152398,9887.965820
18229301,9.160315,9901.335938
18229301,9.168193,9914.684570
18229301,9.176135,9928.238281
18229301,9.183851,9941.261719
18229301,9.191742,9954.823242
18229301,9.199518,9968.182617
18229301,9.207306,9981.676758
18229301,9.215063,9995.079102
18229301,9.222851,10008.585938
18229301,9.230535,10022.001953
18229301,9.238136,10035.167969
18229301,9.245751,10048.519531
18229301,9.253428,10062.084961
18229301,9.260981,10075.419922
18229301,9.268593,10088.987305
18229301,9.276125,10102.336914
18229301,9.283655,10115.818359
18229301,9.291135,10129.217773
18229301,9.298540,10142.425781
18229301,9.305975,10155.791016
18229301,9.313452,10169.472656
18229301,9.320820,10182.860352
18229301,9.328186,10196.241211
18229301,9.335567,10209.758789
18229301,9.342864,10223.144531
18229301,9.350183,10236.598633
18229301,9.357359,10249.672852
18229301,9.364626,10263.187500
18229301,9.371877,10276.582031
18229301,9.379124,10290.174805
18229301,9.386267,10303.491211
18229301,9.393488,10317.016602
18229301,9.400600,10330.394531
18229301,9.407736,10343.845703
18229301,9.414731,10356.994141
18229301,9.421798,10370.441406
18229301,9.428871,10383.833008
18229301,9.435945,10397.417969
18229301,9.442910,10410.732422
18229301,9.449984,10424.332031
18229301,9.456910,10437.649414
18229301,9.463783,10450.965820
18229301,9.470693,10464.233398
18229301,9.477598,10477.554688
18229301,9.484550,10491.147461
18229301,9.491394,10504.457031
18229301,9.498271,10517.990234
18229301,9.505089,10531.444336
18229301,9.511923,10544.902344
18229301,9.518711,10558.357422
18229301,9.525411,10571.495117
18229301,9.532143,10584.808594
18229301,9.538934,10598.397461
18229301,9.545630,10611.717773
18229301,9.552365,10625.303711
18229301,9.559046,10638.698242
18229301,9.565722,10652.146484
18229301,9.572270,10665.280273
18229301,9.578921,10678.742188
18229301,9.585528,10692.125977
18229301,9.592116,10705.510742
18229301,9.598701,10719.099609
18229301,9.605275,10732.557617
18229301,9.611854,10746.083008
18229301,9.618350,10759.464844
18229301,9.624804,10772.679688
18229301,9.631264,10785.986328
18229301,9.637755,10799.514648
18229301,9.644229,10812.902344
18229301,9.650682,10826.428711
18229301,9.657100,10839.808594
18229301,9.663547,10853.337891
18229301,9.669908,10866.718750
18229301,9.676233,10879.926758
18229301,9.682555,10893.313477
18229301,9.688917,10906.835938
18229301,9.695239,10920.153320
18229301,9.701568,10933.667969
18229301,9.707880,10947.062500
18229301,9.714226,10960.587891
18229301,9.720469,10973.972656
18229301,9.726604,10987.035156
18229301,9.732901,11000.565430
18229301,9.739101,11013.949219
18229301,9.745358,11027.471680
18229301,9.751522,11040.781250
18229301,9.757717,11054.303711
18229301,9.763865,11067.694336
18229301,9.770060,11081.219727
18229301,9.776103,11094.356445
18229301,9.782264,11107.804688
18229301,9.788360,11121.196289
18229301,9.794498,11134.718750
18229301,9.800561,11148.031250
18229301,9.806684,11161.630859
18229301,9.812723,11174.945312
18229301,9.818806,11188.470703
18229301,9.824758,11201.603516
18229301,9.830797,11215.062500
18229301,9.836841,11228.512695
18229301,9.842854,11241.968750
18229301,9.848808,11255.498047
18229301,9.854791,11268.875000
18229301,9.860777,11282.336914
18229301,9.866647,11295.470703
18229301,9.872602,11308.927734
18229301,9.878531,11322.309570
18229301,9.884501,11335.905273
18229301,9.890393,11349.215820
18229301,9.896348,11362.818359
18229301,9.902214,11376.132812
18229301,9.908136,11389.658203
18229301,9.913895,11402.724609
18229301,9.919803,11416.179688
18229301,9.925650,11429.634766
18229301,9.931489,11443.088867
18229301,9.937306,11456.473633
18229301,9.943192,11470.066406
18229301,9.948960,11483.379883
18229301,9.954823,11496.905273
18229301,9.960469,11509.975586
