COMID, Height(ft), Flowrate(ft^3/s)
18229513,1.433612,17.657333
18229513,1.434191,17.674913
18229513,1.526173,20.313608
18229513,1.616691,23.116343
18229513,1.697005,25.770906
18229513,1.768210,28.292536
18229513,1.842879,31.049492
18229513,1.908487,33.605267
18229513,1.975818,36.292637
18229513,2.105791,41.243294
18229513,2.234475,46.371655
18229513,2.357824,51.505383
18229513,2.476807,56.661358
18229513,2.589796,61.747341
18229513,2.700068,66.878311
18229513,2.804762,71.916695
18229513,2.911065,77.174339
18229513,3.009412,82.196472
18229513,3.110289,87.474220
18229513,3.204399,92.541695
18229513,3.297444,97.674820
18229513,3.386706,102.723656
18229513,3.477218,107.951927
18229513,3.563786,113.073395
18229513,3.649364,118.243324
18229513,3.732582,123.377998
18229513,3.814423,128.531006
18229513,3.892349,133.537933
18229513,3.971050,138.683167
18229513,4.049511,143.906525
18229513,4.123838,148.951050
18229513,4.199682,154.179306
18229513,4.271860,159.245697
18229513,4.343357,164.346085
18229513,4.414944,169.530350
18229513,4.483747,174.596771
18229513,4.553255,179.787842
18229513,4.620800,184.911621
18229513,4.688219,190.099060
18229513,4.753822,195.217743
18229513,4.819052,200.379974
18229513,4.882021,205.431747
18229513,4.946506,210.671448
18229513,5.007940,215.730881
18229513,5.069062,220.828323
18229513,5.129560,225.935043
18229513,5.190811,231.166245
18229513,5.249892,236.278534
18229513,5.308888,241.440338
18229513,5.366233,246.518448
18229513,5.424104,251.698395
18229513,5.480843,256.836792
18229513,5.536447,261.926300
18229513,5.591680,267.038208
18229513,5.646523,272.166046
18229513,5.701391,277.347717
18229513,5.755774,282.539368
18229513,5.808274,287.601227
18229513,5.861260,292.758850
18229513,5.913711,297.916321
18229513,5.964718,302.982300
18229513,6.016670,308.186249
18229513,6.066995,313.276276
18229513,6.117818,318.464996
18229513,6.167041,323.536530
18229513,6.216020,328.625885
18229513,6.265233,333.783478
18229513,6.314623,339.007019
18229513,6.362543,344.121765
18229513,6.410384,349.269073
18229513,6.458484,354.486847
18229513,6.504813,359.553802
18229513,6.551539,364.704071
18229513,6.597763,369.842743
18229513,6.643681,374.988068
18229513,6.689426,380.150024
18229513,6.733078,385.103607
18229513,6.777589,390.202362
18229513,6.822588,395.407013
18229513,6.866339,400.502899
18229513,6.910279,405.633789
18229513,6.953478,410.743134
18229513,6.996768,415.895172
18229513,7.040230,421.082916
18229513,7.082664,426.209534
18229513,7.124416,431.286377
18229513,7.166346,436.417938
18229513,7.208760,441.621552
18229513,7.250354,446.784912
18229513,7.290912,451.851501
18229513,7.332277,457.024750
18229513,7.372887,462.166901
18229513,7.412998,467.278717
18229513,7.453651,472.461517
18229513,7.493182,477.561310
18229513,7.532615,482.682281
18229513,7.572523,487.895447
18229513,7.610971,492.922455
18229513,7.650647,498.168823
18229513,7.689035,503.274261
18229513,7.727224,508.357117
18229513,7.765489,513.509521
18229513,7.803862,518.705322
18229513,7.841739,523.834473
18229513,7.879033,528.941650
18229513,7.916187,534.061951
18229513,7.953616,539.246460
18229513,7.990745,544.389709
18229513,8.027273,549.504700
18229513,8.063901,554.663818
18229513,8.100407,559.806702
18229513,8.136519,564.946716
18229513,8.172506,570.098083
18229513,8.208009,575.177429
18229513,8.243333,580.285645
18229513,8.279190,585.498779
18229513,8.314593,590.645874
18229513,8.349436,595.763367
18229513,8.384203,600.894958
18229513,8.418645,606.007080
18229513,8.453366,611.153870
18229513,8.487576,616.282593
18229513,8.521771,621.433960
18229513,8.556053,626.590210
18229513,8.589737,631.715454
18229513,8.623504,636.872131
18229513,8.656653,641.931702
18229513,8.689160,646.932190
18229513,8.722211,652.052856
18229513,8.755528,657.239502
18229513,8.788543,662.372131
18229513,8.821230,667.510437
18229513,8.853799,672.651917
18229513,8.886237,677.763000
18229513,8.918707,682.935913
18229513,8.950519,688.023315
18229513,8.982857,693.185913
18229513,9.014695,698.325623
18229513,9.046499,703.478088
18229513,9.078163,708.632568
18229513,9.109889,713.789612
18229513,9.141053,718.904907
18229513,9.172011,724.010010
18229513,9.203218,729.139099
18229513,9.233950,734.245972
18229513,9.264753,739.384277
18229513,9.295132,744.442749
18229513,9.325954,749.626221
18229513,9.356274,754.746155
18229513,9.386185,759.817688
18229513,9.416600,764.962280
18229513,9.446758,770.115051
18229513,9.478393,775.572571
18229513,9.507986,780.639160
18229513,9.537982,785.824097
18229513,9.567369,790.923828
18229513,9.596989,796.051208
18229513,9.626214,801.161194
18229513,9.655555,806.309753
18229513,9.684478,811.403931
18229513,9.713462,816.494507
18229513,9.742320,821.613037
18229513,9.771266,826.764343
18229513,9.800272,831.912537
18229513,9.828501,836.973145
18229513,9.857304,842.151672
18229513,9.885679,847.270508
18229513,9.914150,852.392212
18229513,9.942323,857.508606
18229513,9.970193,862.586182
18229513,9.998540,867.732971
18229513,10.026535,872.864868
18229513,10.055928,878.304321
18229513,10.084078,883.462463
18229513,10.111503,888.535706
18229513,10.139144,893.661621
18229513,10.167092,898.824646
18229513,10.193386,903.708679
18229513,10.220803,908.833557
18229513,10.248360,913.995789
18229513,10.275716,919.100586
18229513,10.302949,924.227539
18229513,10.330056,929.341125
18229513,10.357332,934.464600
18229513,10.384275,939.568604
18229513,10.411496,944.734436
18229513,10.438511,949.839172
18229513,10.465495,954.979980
18229513,10.492191,960.074036
18229513,10.519077,965.210571
18229513,10.545860,970.303284
18229513,10.574173,975.776428
18229513,10.601010,980.927368
18229513,10.627785,986.038818
18229513,10.654466,991.170410
18229513,10.681093,996.296692
18229513,10.707435,1001.370667
18229513,10.734294,1006.515686
18229513,10.760798,1011.628174
18229513,10.787234,1016.730774
18229513,10.814177,1021.899109
18229513,10.840689,1027.019775
18229513,10.866873,1032.075684
18229513,10.893652,1037.214355
18229513,10.920325,1042.367188
18229513,10.946653,1047.449585
18229513,10.973553,1052.609375
18229513,10.999918,1057.697144
18229513,11.026443,1062.811523
18229513,11.053248,1067.978394
18229513,11.079885,1073.076050
18229513,11.108054,1078.572510
18229513,11.134492,1083.648926
18229513,11.161381,1088.784058
18229513,11.188077,1093.905396
18229513,11.214866,1099.038696
18229513,11.241644,1104.162842
18229513,11.268471,1109.250610
18229513,11.295485,1114.410034
18229513,11.322389,1119.535645
18229513,11.349314,1124.617065
18229513,11.376526,1129.782959
18229513,11.403527,1134.896851
18229513,11.430820,1140.023804
18229513,11.457743,1145.095459
18229513,11.485154,1150.260498
18229513,11.512602,1155.379028
18229513,11.539150,1160.301270
18229513,11.566640,1165.439453
18229513,11.593910,1170.510254
18229513,11.621631,1175.629517
18229513,11.650735,1181.137085
18229513,11.678556,1186.282593
18229513,11.706441,1191.387573
18229513,11.734154,1196.480713
18229513,11.762182,1201.612305
18229513,11.790325,1206.763306
18229513,11.818484,1211.862793
18229513,11.846830,1217.006958
18229513,11.875066,1222.109985
