COMID, Height(ft), Flowrate(ft^3/s)
18227379,0.925771,264.859985
18227379,0.926643,265.264221
18227379,1.035346,315.281006
18227379,1.177311,388.656647
18227379,1.312992,463.457306
18227379,1.462080,551.517273
18227379,1.607495,642.736450
18227379,1.744957,734.416504
18227379,1.881204,830.953735
18227379,2.014069,930.396301
18227379,2.143737,1032.575073
18227379,2.268370,1135.580933
18227379,2.387302,1238.320435
18227379,2.501616,1341.282104
18227379,2.611758,1444.334839
18227379,2.717967,1547.285278
18227379,2.820523,1650.153687
18227379,2.919903,1753.203369
18227379,3.015915,1856.037231
18227379,3.109154,1959.089966
18227379,3.198995,2061.473877
18227379,3.286965,2164.785889
18227379,3.372540,2268.293213
18227379,3.455925,2372.114502
18227379,3.537549,2476.632324
18227379,3.617100,2580.908691
18227379,3.694823,2685.084229
18227379,3.770827,2789.182129
18227379,3.845197,2893.240967
18227379,3.918268,2997.644043
18227379,3.989662,3101.739990
18227379,4.060358,3206.912354
18227379,4.129754,3312.227295
18227379,4.197352,3416.837646
18227379,4.264436,3522.692383
18227379,4.330318,3628.670410
18227379,4.394882,3734.522461
18227379,4.458373,3840.590088
18227379,4.520545,3946.389160
18227379,4.582083,4052.513428
18227379,4.642903,4158.407715
18227379,4.703186,4264.334473
18227379,4.762939,4370.274902
18227379,4.822149,4476.166016
18227379,4.880915,4582.152344
18227379,4.939140,4687.947754
18227379,4.997057,4793.902344
18227379,5.054682,4899.980469
18227379,5.111745,5005.663086
18227379,5.168619,5111.582520
18227379,5.225456,5218.010254
18227379,5.281536,5323.520020
18227379,5.337605,5429.467773
18227379,5.393343,5535.203125
18227379,5.449206,5641.560547
18227379,5.504475,5747.126465
18227379,5.559761,5853.063477
18227379,5.615111,5959.495117
18227379,5.669724,6064.855957
18227379,5.724541,6170.958984
18227379,5.779065,6276.825195
18227379,5.833392,6382.621094
18227379,5.887559,6488.434082
18227379,5.942211,6595.557617
18227379,5.995863,6700.937012
18227379,6.049616,6806.880859
18227379,6.103041,6912.415039
18227379,6.156575,7018.560547
18227379,6.209941,7124.723145
18227379,6.262785,7230.197754
18227379,6.315571,7335.926270
18227379,6.368530,7442.513184
18227379,6.420755,7547.909668
18227379,6.473514,7654.856445
18227379,6.525466,7760.437012
18227379,6.577306,7866.289062
18227379,6.628356,7971.333008
18227379,6.679564,8077.604980
18227379,6.730233,8183.584473
18227379,6.780814,8290.118164
18227379,6.830764,8396.263672
18227379,6.880033,8501.702148
18227379,6.929242,8607.939453
18227379,6.977644,8713.279297
18227379,7.025978,8819.339844
18227379,7.073927,8925.443359
18227379,7.121342,9031.207031
18227379,7.168734,9137.793945
18227379,7.215433,9243.719727
18227379,7.261555,9349.204102
18227379,7.307700,9455.615234
18227379,7.352719,9560.173828
18227379,7.398199,9666.914062
18227379,7.442996,9772.861328
18227379,7.487205,9878.190430
18227379,7.531792,9985.380859
18227379,7.575318,10090.639648
18227379,7.618947,10196.770508
18227379,7.662470,10303.248047
18227379,7.705387,10408.687500
18227379,7.748067,10513.946289
18227379,7.790958,10620.250000
18227379,7.833580,10726.191406
18227379,7.875850,10831.636719
18227379,7.918212,10937.849609
18227379,7.960637,11044.693359
18227379,8.002540,11150.398438
18227379,8.044308,11256.175781
18227379,8.085998,11362.154297
18227379,8.127392,11467.738281
18227379,8.168536,11573.092773
18227379,8.210033,11679.739258
18227379,8.251292,11786.142578
18227379,8.292343,11892.245117
18227379,8.333006,11997.734375
18227379,8.373569,12103.183594
18227379,8.414344,12209.650391
18227379,8.454672,12315.212891
18227379,8.495217,12421.740234
18227379,8.535439,12527.584961
18227379,8.575686,12634.065430
18227379,8.615925,12740.621094
18227379,8.655807,12846.332031
18227379,8.695748,12952.688477
18227379,8.735630,13059.028320
18227379,8.775063,13164.527344
18227379,8.814712,13271.050781
18227379,8.854078,13376.965820
18227379,8.893681,13484.018555
18227379,8.932631,13589.525391
18227379,8.972103,13696.995117
18227379,9.010853,13802.494141
18227379,9.049538,13908.117188
18227379,9.088475,14014.717773
18227379,9.126752,14119.496094
18227379,9.165437,14225.810547
18227379,9.204630,14333.990234
18227379,9.242999,14439.666016
18227379,9.281270,14545.267578
18227379,9.319436,14650.749023
18227379,9.357999,14757.589844
18227379,9.396126,14863.416992
18227379,9.434186,14969.230469
18227379,9.473047,15077.833008
18227379,9.511122,15184.064453
18227379,9.548907,15289.513672
18227379,9.586966,15395.799805
18227379,9.624921,15501.730469
18227379,9.662802,15607.532227
18227379,9.700788,15713.373047
18227379,9.738760,15819.289062
18227379,9.776387,15924.092773
18227379,9.814380,16030.189453
18227379,9.852798,16137.485352
18227379,9.890614,16242.907227
