COMID,Discharge,StageHeight
1.822901700000000000e+07,7.623999999999999666e-01,2.276149506606070516e-01
1.822901100000000000e+07,5.970000000000000306e-02,1.114322765977289117e-02
1.822902700000000000e+07,1.076000000000000012e-01,1.989532844440891277e-02
1.822890900000000000e+07,7.270000000000000073e-02,2.989173258290471480e-02
1.822901300000000000e+07,1.480000000000000066e-02,nan
1.822899700000000000e+07,1.202700000000000102e+00,1.136894776177440336e-01
1.822898500000000000e+07,6.599999999999999964e-03,9.329382444811508369e-04
1.822903100000000000e+07,4.249999999999999889e-01,1.362639968315317585e-01
1.822879100000000000e+07,7.230800000000000338e+00,3.572022215547396295e-01
1.823014900000000000e+07,5.909999999999999976e-02,1.711415888617933562e-02
1.822904900000000000e+07,1.100000000000000066e-03,6.004492413122701575e-04
1.823014700000000000e+07,4.899999999999999842e-03,nan
1.822895100000000000e+07,1.267300000000000093e+00,1.126571039277797087e-01
1.822898100000000000e+07,8.649999999999999356e-02,1.563990850008062372e-02
1.822880300000000000e+07,8.532999999999999474e-01,1.902252742679413078e-01
1.823014300000000000e+07,3.799999999999999992e-03,1.115426326664363402e-03
1.822904300000000000e+07,1.480000000000000066e-02,2.381799221105352325e-03
1.822891100000000000e+07,7.560000000000000053e-02,2.221678304609782037e-02
1.822892500000000000e+07,8.210000000000000631e-02,1.490786983075336782e-02
1.822900500000000000e+07,2.149999999999999828e-02,1.171398869239088578e-02
1.822901500000000000e+07,2.674000000000000266e-01,7.747321629443783275e-02
1.822892900000000000e+07,1.270499999999999963e+00,9.294596483087999572e-02
1.822891900000000000e+07,5.302999999999999936e-01,8.406026576477330925e-02
1.822895300000000000e+07,2.799999999999999972e-03,4.196772468991415671e-04
1.822896300000000000e+07,2.739999999999999658e-01,1.860345883905966669e-01
1.822900300000000000e+07,7.100000000000000408e-03,7.497337592048321795e-04
1.822890500000000000e+07,1.024299999999999988e+00,1.578720351186311266e-01
1.822902900000000000e+07,1.030000000000000013e-02,3.303019650996181795e-03
1.822900100000000000e+07,3.399999999999999811e-03,6.935842037402495169e-04
1.823015100000000000e+07,8.999999999999999754e-04,4.808028229119300136e-04
1.823014500000000000e+07,5.999999999999999474e-04,2.309697714917073553e-04
1.822897100000000000e+07,3.379999999999999671e-02,1.101620327097116263e-02
1.822890300000000000e+07,2.565999999999999948e-01,5.374128862105916060e-02
1.822896100000000000e+07,1.239999999999999956e-02,2.605151811521502769e-03
1.822996700000000000e+07,9.599999999999999159e-03,3.056105369155427513e-03
1.822904700000000000e+07,1.230000000000000017e-02,2.447621007565693382e-03
1.822903900000000000e+07,5.109999999999999959e-02,1.128581964262646495e-02
1.822891300000000000e+07,4.479999999999999538e-01,5.068322186069196267e-02
1.822891700000000000e+07,3.785099999999999909e+00,3.903983642103192597e-01
1.822894900000000000e+07,7.286000000000000254e-01,9.249568830809218323e-02
1.822896700000000000e+07,2.328999999999999959e-01,3.438099702553003983e-02
1.822902300000000000e+07,3.520000000000000212e-02,4.873076623392326966e-03
1.822905300000000000e+07,9.599999999999999159e-03,2.522539659604566137e-03
1.822885900000000000e+07,6.017299999999999649e+00,3.629725602729352296e-01
1.822904500000000000e+07,1.280000000000000061e-02,1.961093266565184980e-03
1.822884700000000000e+07,8.484000000000000430e-01,2.116092864805416141e-01
1.822897700000000000e+07,1.534999999999999976e-01,2.060341532498177405e-02
1.822897300000000000e+07,6.149999999999999911e-02,1.643141314434700892e-02
