COMID,Discharge,StageHeight
1.822901700000000000e+07,7.378000000000000114e-01,2.202706067646850729e-01
1.822901100000000000e+07,4.449999999999999789e-02,8.306090969177446978e-03
1.822902700000000000e+07,9.439999999999999780e-02,1.745463759435131323e-02
1.822890900000000000e+07,7.209999999999999742e-02,2.964503327685598030e-02
1.822901300000000000e+07,1.069999999999999944e-02,nan
1.822899700000000000e+07,1.203300000000000036e+00,1.137461947430210146e-01
1.822898500000000000e+07,6.599999999999999964e-03,9.329382444811508369e-04
1.822903100000000000e+07,3.885000000000000120e-01,1.245613241624707879e-01
1.822879100000000000e+07,5.826600000000000001e+00,2.878346053148815864e-01
1.823014900000000000e+07,6.389999999999999847e-02,1.850414133378780815e-02
1.822904900000000000e+07,1.100000000000000066e-03,6.004492413122701575e-04
1.823014700000000000e+07,4.899999999999999842e-03,nan
1.822895100000000000e+07,1.267600000000000060e+00,1.126837725391411360e-01
1.822898100000000000e+07,8.980000000000000482e-02,1.623657552956347255e-02
1.822880300000000000e+07,8.468999999999999861e-01,1.887985289786938969e-01
1.823014300000000000e+07,3.799999999999999992e-03,1.115426326664363402e-03
1.822904300000000000e+07,1.480000000000000066e-02,2.381799221105352325e-03
1.822891100000000000e+07,7.489999999999999436e-02,2.201107209196728753e-02
1.822892500000000000e+07,8.150000000000000300e-02,1.479892072114981014e-02
1.822900500000000000e+07,1.179999999999999973e-02,6.429072863730811785e-03
1.822901500000000000e+07,2.586999999999999855e-01,7.495258435067712888e-02
1.822892900000000000e+07,1.270599999999999952e+00,9.295328053059119522e-02
1.822891900000000000e+07,5.262999999999999901e-01,8.342620756552932004e-02
1.822895300000000000e+07,2.899999999999999800e-03,4.346657200026823528e-04
1.822896300000000000e+07,2.651999999999999913e-01,1.800597548948403015e-01
1.822900300000000000e+07,7.700000000000000247e-03,8.130915416728461695e-04
1.822890500000000000e+07,9.955000000000000515e-01,1.534331845754147439e-01
1.822902900000000000e+07,1.349999999999999985e-02,4.329200513441597460e-03
1.822900100000000000e+07,4.199999999999999740e-03,8.567804869732493969e-04
1.823015100000000000e+07,8.999999999999999754e-04,4.808028229119300136e-04
1.823014500000000000e+07,5.999999999999999474e-04,2.309697714917073553e-04
1.822897100000000000e+07,3.359999999999999792e-02,1.095101863623168872e-02
1.822890300000000000e+07,2.545000000000000040e-01,5.330147293086343746e-02
1.822896100000000000e+07,1.230000000000000017e-02,2.584142522718910033e-03
1.822996700000000000e+07,9.599999999999999159e-03,3.056105369155427513e-03
1.822904700000000000e+07,1.269999999999999948e-02,2.527218438706041025e-03
1.822903900000000000e+07,5.109999999999999959e-02,1.128581964262646495e-02
1.822891300000000000e+07,4.446999999999999842e-01,5.030988562823597576e-02
1.822891700000000000e+07,3.579699999999999882e+00,3.692132372628675885e-01
1.822894900000000000e+07,7.027999999999999803e-01,8.922038120083335133e-02
1.822896700000000000e+07,2.179999999999999993e-01,3.218143989508608083e-02
1.822902300000000000e+07,3.839999999999999664e-02,5.316083589155264598e-03
1.822905300000000000e+07,9.499999999999999764e-03,2.496263204817018681e-03
1.822885900000000000e+07,4.973799999999999777e+00,3.000270753137661561e-01
1.822904500000000000e+07,1.269999999999999948e-02,1.945772225420144483e-03
1.822884700000000000e+07,8.407000000000000028e-01,2.096887401510977578e-01
1.822897700000000000e+07,1.403999999999999970e-01,1.884507825164456751e-02
1.822897300000000000e+07,6.110000000000000153e-02,1.632454216454638091e-02
