COMID,Discharge,StageHeight
1.822901700000000000e+07,7.374000000000000554e-01,2.201511865387351385e-01
1.822901100000000000e+07,4.460000000000000075e-02,8.324756342141892071e-03
1.822902700000000000e+07,9.450000000000000067e-02,1.747312767654872132e-02
1.822890900000000000e+07,7.240000000000000602e-02,2.976838292988035276e-02
1.822901300000000000e+07,1.069999999999999944e-02,nan
1.822899700000000000e+07,1.203200000000000047e+00,1.137367418888081960e-01
1.822898500000000000e+07,6.599999999999999964e-03,9.329382444811508369e-04
1.822903100000000000e+07,3.884000000000000230e-01,1.245292620455692723e-01
1.822879100000000000e+07,5.834999999999999964e+00,2.882495661298757339e-01
1.823014900000000000e+07,6.400000000000000133e-02,1.853309930144632009e-02
1.822904900000000000e+07,1.100000000000000066e-03,6.004492413122701575e-04
1.823014700000000000e+07,4.899999999999999842e-03,nan
1.822895100000000000e+07,1.267600000000000060e+00,1.126837725391411360e-01
1.822898100000000000e+07,8.999999999999999667e-02,1.627273716771394582e-02
1.822880300000000000e+07,8.495000000000000329e-01,1.893781442524506975e-01
1.823014300000000000e+07,3.799999999999999992e-03,1.115426326664363402e-03
1.822904300000000000e+07,1.480000000000000066e-02,2.381799221105352325e-03
1.822891100000000000e+07,7.520000000000000295e-02,2.209923392945180309e-02
1.822892500000000000e+07,8.169999999999999485e-02,1.483523709101765981e-02
1.822900500000000000e+07,1.190000000000000085e-02,6.483556532067513874e-03
1.822901500000000000e+07,2.586999999999999855e-01,7.495258435067712888e-02
1.822892900000000000e+07,1.270499999999999963e+00,9.294596483087999572e-02
1.822891900000000000e+07,5.275999999999999579e-01,8.363227648028360994e-02
1.822895300000000000e+07,2.799999999999999972e-03,4.196772468991415671e-04
1.822896300000000000e+07,2.651999999999999913e-01,1.800597548948403015e-01
1.822900300000000000e+07,7.700000000000000247e-03,8.130915416728461695e-04
1.822890500000000000e+07,9.965000000000000524e-01,1.535873113303875270e-01
1.822902900000000000e+07,1.349999999999999985e-02,4.329200513441597460e-03
1.822900100000000000e+07,4.199999999999999740e-03,8.567804869732493969e-04
1.823015100000000000e+07,8.999999999999999754e-04,4.808028229119300136e-04
1.823014500000000000e+07,5.999999999999999474e-04,2.309697714917073553e-04
1.822897100000000000e+07,3.370000000000000079e-02,1.098361095360142828e-02
1.822890300000000000e+07,2.551999999999999824e-01,5.344807816092866926e-02
1.822896100000000000e+07,1.239999999999999956e-02,2.605151811521502769e-03
1.822996700000000000e+07,9.599999999999999159e-03,3.056105369155427513e-03
1.822904700000000000e+07,1.269999999999999948e-02,2.527218438706041025e-03
1.822903900000000000e+07,5.120000000000000245e-02,1.130790539535176005e-02
1.822891300000000000e+07,4.457999999999999741e-01,5.043433103905464038e-02
1.822891700000000000e+07,3.583400000000000141e+00,3.695948583422520306e-01
1.822894900000000000e+07,7.034000000000000252e-01,8.929655113356031737e-02
1.822896700000000000e+07,2.184000000000000108e-01,3.224048840865504501e-02
1.822902300000000000e+07,3.839999999999999664e-02,5.316083589155264598e-03
1.822905300000000000e+07,9.599999999999999159e-03,2.522539659604566137e-03
1.822885900000000000e+07,4.979400000000000048e+00,3.003648757122054369e-01
1.822904500000000000e+07,1.280000000000000061e-02,1.961093266565184980e-03
1.822884700000000000e+07,8.433000000000000496e-01,2.103372363142866075e-01
1.822897700000000000e+07,1.406999999999999917e-01,1.888534551286602872e-02
1.822897300000000000e+07,6.119999999999999746e-02,1.635125990949653704e-02
